report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2010-08-10,523078,224485,33798,64875,174249,405229,59469,19176
2010-08-17,543674,240954,36726,66794,172331,421901,63595,18253
2010-08-24,556464,256244,35053,65276,172529,436829,62415,19306
2010-08-31,577352,272509,34432,67118,171275,455836,66450,19966
2010-09-07,585564,275367,35670,68386,171591,459271,70220,22237
2010-09-14,594058,286237,41976,66120,171449,464388,70252,21574
2010-09-21,597592,286568,42555,66691,173670,465978,70663,22368
2010-09-28,619408,297272,39623,66647,182276,485016,73213,28122
2010-10-05,617204,300571,40951,69982,179071,478569,67580,27702
2010-10-12,616382,304564,48690,67046,177524,477546,67248,23100
2010-10-19,630626,299275,49523,84737,177820,470902,68794,25464
2010-10-26,607582,283153,44067,79892,174257,456692,70280,26931
2010-11-02,618381,282707,52479,82527,184286,460898,68861,22477
2010-11-09,650764,298005,51826,100000,181532,472485,71227,26453
2010-11-16,637435,267157,48678,105592,189737,454645,74949,28520
2010-11-23,622712,261969,40640,91080,191319,455212,78344,35780
2010-11-30,600158,265824,38217,80653,183793,454262,69888,27026
2010-12-07,603632,269504,36753,79139,181151,459824,73838,27916
2010-12-14,594652,259917,39722,77570,184736,452871,72429,24489
2010-12-21,582133,251722,45298,67525,194090,445898,68796,23412
2010-12-28,594490,258145,42357,73193,190440,450210,72712,28730
2011-01-04,592613,250305,47987,68997,193319,447901,79992,27728
2011-01-11,588179,234333,56961,82517,201336,426400,69993,22301
2011-01-18,587832,237404,72411,81307,201589,408060,67532,26054
2011-01-25,506047,232725,72136,25547,181815,379298,65960,29066
2011-02-01,462907,212265,61071,25247,159816,353013,65579,23576
2011-02-08,469779,226799,59706,21916,154774,364685,66290,23472
2011-02-15,473345,230943,58099,21528,153168,371794,67706,21924
2011-02-22,502119,246967,66543,23760,157951,389757,73441,22059
2011-03-01,515784,257754,60501,27992,155830,406426,74208,20865
2011-03-08,515214,253434,62494,32206,152903,400367,76671,20147
2011-03-15,507760,240661,66090,31471,168330,388484,67298,21715
2011-03-22,509131,231512,56675,43600,162616,387415,71403,21441
2011-03-29,492087,242343,49222,22806,158429,399198,68509,20861
2011-04-05,508956,259792,55086,16131,157327,415992,75706,21747
2011-04-12,514871,261335,59590,24447,157498,411186,71591,19648
2011-04-19,537946,274208,59282,30440,157793,424341,75505,23883
2011-04-26,530132,260607,59341,28362,167035,416029,74128,26400
2011-05-03,522323,259440,66784,27637,161934,402036,73312,25866
2011-05-10,510151,240975,64636,21744,178418,399999,69014,23772
2011-05-17,509164,227421,62818,27803,189113,396062,64827,22481
2011-05-24,531180,240461,68067,38165,185259,402496,67295,22452
2011-05-31,501400,247185,55411,15917,170783,411291,67515,18781
2011-06-07,502251,251837,53129,14209,168869,416553,67336,18360
2011-06-14,497780,247713,56018,14270,171824,409253,63973,18239
2011-06-21,515016,262254,59027,16931,167811,419058,68020,20000
2011-06-28,495761,225982,60080,24711,177824,386579,67244,24391
2011-07-05,489782,219889,62114,27693,177118,379120,65082,20855
2011-07-12,520202,262515,64918,20012,167806,412055,69869,23217
2011-07-19,542342,277492,58195,34731,162395,426209,67724,23207
2011-07-26,536454,278473,42856,24264,158260,441233,75457,28101
2011-08-02,529403,291974,44799,15714,155014,442648,66701,26242
2011-08-09,510223,259388,55815,14425,163472,412678,72938,27305
2011-08-16,514107,263954,63868,19081,160562,409409,70510,21749
2011-08-23,528520,258641,70960,24776,175150,405586,69953,27198
2011-08-30,509326,237230,60283,29509,176476,393831,66111,25703
2011-09-06,523294,248457,64086,31105,174101,401815,69631,26288
2011-09-13,512068,235395,66548,28645,183452,393920,64576,22955
2011-09-20,499356,212809,62280,30150,187257,384885,69140,22041
2011-09-27,465414,181723,53922,28003,192457,359140,63231,24349
2011-10-04,436920,180635,47479,22119,180289,345040,53877,22282
2011-10-11,438090,179125,44623,22377,179749,348227,56839,22863
2011-10-18,437739,175224,48246,23258,182341,341494,56916,24741
2011-10-25,443723,182146,52425,23518,175677,343791,62382,23989
2011-11-01,442435,183149,43204,25432,170316,352716,63538,21083
2011-11-08,464982,200186,44479,18558,170248,367183,75990,34762
2011-11-15,470490,205417,46203,26282,170594,374757,68197,23248
2011-11-22,457070,194066,33096,25222,170098,362511,67684,36241
