report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2015-04-21,457610,46821,261466,9721,361058,102833,40010,83590
2015-04-28,456919,50734,248500,8202,356986,116294,40997,83923
2015-05-05,449254,50116,240243,9773,343981,116070,45384,83168
2015-05-12,439122,43333,222309,8386,345101,127933,42302,80494
2015-05-19,428580,38758,207097,9551,338273,129839,41998,82093
2015-05-26,431927,44221,215961,11710,336026,127583,39970,76673
2015-06-02,428403,49471,214983,13086,326452,119316,39394,81018
2015-06-09,436540,52643,190617,25840,316710,139995,41347,80088
2015-06-16,350145,82714,172071,4491,225812,102841,37128,70742
2015-06-23,345427,67867,167173,5022,233162,101253,39376,71979
2015-06-30,346115,65554,165589,5526,236963,102207,38072,72793
2015-07-07,354885,66161,165427,5532,245408,103930,37784,79996
2015-07-14,356760,62676,170457,5844,249129,105205,39111,75254
2015-07-21,366892,65728,178704,7435,254622,101507,39107,79246
2015-07-28,357940,67842,171850,7656,244469,103550,37973,74884
2015-08-04,367885,70620,184014,6023,254646,102623,36596,75225
2015-08-11,361334,67373,182583,6105,248825,96502,39031,76144
2015-08-18,356952,68473,161205,7121,240738,118412,40620,70214
2015-08-25,374977,87807,153885,8190,235992,144841,42988,68061
2015-09-01,363980,74910,142767,8764,238443,150100,41863,62349
2015-09-08,383187,75715,156956,13193,254844,146399,39435,66639
2015-09-15,311366,63416,147618,6744,201476,99066,39730,57938
2015-09-22,315450,63526,144559,5744,204828,102714,41352,62433
2015-09-29,322721,61932,149592,6195,215338,103272,39256,63662
2015-10-06,337606,65410,154220,7682,222477,113970,42037,61734
2015-10-13,349720,71132,151708,6509,226415,129400,45664,62103
2015-10-20,357133,76291,138857,7090,229622,150293,44130,60893
2015-10-27,380564,70351,176285,6349,261683,127233,42181,70697
2015-11-03,405462,72883,207217,4525,288232,119288,39822,74432
2015-11-10,421967,78994,221933,6817,294780,110225,41376,82992
2015-11-17,436801,78898,243075,7074,307454,103302,43375,83350
2015-11-24,444626,76296,251780,7450,318441,102519,42439,82877
2015-12-01,462447,78782,261627,8929,330854,106332,43882,85559
2015-12-08,474921,80378,252709,25883,309680,112572,58980,83757
2015-12-15,404837,71295,231256,4695,275052,89741,53795,79145
2015-12-22,406533,70509,231556,5290,275354,93283,55380,76404
2015-12-29,400497,66973,227523,4976,273701,93279,54847,74719
2016-01-05,407105,66857,227500,4498,276815,97443,58935,77664
2016-01-12,398570,63162,209613,5823,271543,109792,58042,73342
2016-01-19,400362,69449,206464,6046,265334,117867,59533,69985
2016-01-26,402227,71446,198661,6226,267012,124194,57543,73146
2016-02-02,403939,96012,183085,6769,259869,147872,41289,66213
2016-02-09,441228,114607,177921,8356,268586,194562,49679,60389
2016-02-16,429997,113970,162175,7793,258996,205232,49238,54797
2016-02-23,422624,107566,154423,7678,258954,205427,48426,55096
2016-03-01,417624,103965,172506,8298,260901,174403,44460,62417
2016-03-08,433221,104165,176072,18263,263377,173378,47416,65508
2016-03-15,322405,90353,167908,6390,180672,92859,44990,55248
2016-03-22,324310,91334,157387,6814,176950,103926,49212,56183
2016-03-29,330090,93726,157537,6047,178491,111140,51826,55366
2016-04-05,338533,98014,151501,6799,180268,120531,53452,59702
2016-04-12,333535,89216,141267,6607,182596,126793,55116,58868
2016-04-19,345563,101211,148128,6360,185459,133519,52533,57556
2016-04-26,340200,99072,138739,8215,182996,138270,49917,54976
2016-05-03,360461,113034,136653,8277,184524,156966,54626,58565
2016-05-10,344978,101277,123149,9001,181863,152379,52837,60449
2016-05-17,349559,101723,124310,11343,186065,151949,50428,61957
2016-05-24,350242,93955,131850,11382,193758,145257,51147,61753
2016-05-31,356178,98218,135872,10632,198726,148012,48602,61662
2016-06-07,386010,93492,160604,27389,207448,127910,57681,70107
2016-06-14,325402,104510,160999,7951,168953,98248,43988,58204
2016-06-21,317400,88639,149985,10484,174231,100833,44046,56098
2016-06-28,337273,109580,171514,10857,175747,99094,41089,55808
2016-07-05,362649,112011,187338,12437,197845,104095,40356,58779
2016-07-12,370372,107635,195295,10263,211520,103371,40954,61443
2016-07-19,388905,111578,211469,10787,225909,101654,40631,64995
2016-07-26,400035,109193,221793,9442,239073,103338,42327,65462
2016-08-02,378500,104516,208619,9076,218778,99452,46130,61353
2016-08-09,368693,100442,198841,7668,218984,99470,41599,62714
2016-08-16,366037,103060,195568,8471,208203,99798,46303,62200
2016-08-23,364044,105374,182032,8403,202180,111006,48087,62603
2016-08-30,364843,108261,190186,7058,204241,103433,45283,64166
2016-09-06,375985,97324,189954,12334,220781,107441,45546,66256
2016-09-13,379624,91783,173258,25877,216048,112825,45916,67664
2016-09-20,324525,95698,180723,6314,177910,77967,44603,59521
2016-09-27,328490,100492,176522,8108,174828,86986,45062,56874
2016-10-04,347643,105634,187693,8767,186827,89483,46415,61700
2016-10-11,378774,114284,207756,8917,209879,99131,45694,62970
2016-10-18,413183,128181,237449,9077,230197,104790,45728,61867
2016-10-25,448471,142881,266737,8882,246230,108147,50478,64705
2016-11-01,444502,126443,263828,11245,261922,105533,44892,63896
2016-11-08,418007,118897,248211,9885,245616,101035,43609,58876
2016-11-15,415752,121575,240757,8128,235596,104624,50453,62243
2016-11-22,434768,127122,246470,10142,243796,111726,53708,66430
2016-11-29,447190,136108,255348,11046,245355,116561,54681,64235
2016-12-06,433237,123390,237946,11295,246681,120065,51871,63931
2016-12-13,447679,123597,211110,10796,259537,160236,53749,65537
2016-12-20,399589,117460,195505,10551,219648,130749,51930,62784
2016-12-27,405681,123281,192689,9952,220288,141332,52160,61708
2017-01-03,416239,129701,199757,9554,221781,148076,55203,58852
2017-01-10,415212,134747,200570,7107,219984,147154,53374,60381
2017-01-17,415090,128846,195346,8867,225333,150756,52044,60121
2017-01-24,414447,131904,184252,7246,224017,163750,51280,59199
2017-01-31,405541,125689,171402,9083,218274,164996,52495,60060
2017-02-07,409178,126708,171659,8328,220490,171635,53652,57556
2017-02-14,406350,125333,172097,10485,216770,159331,53762,64437
2017-02-21,417129,130981,189232,10493,220218,155969,55437,61435
2017-02-28,431635,143584,194748,10986,220938,162414,56127,63487
2017-03-07,435309,137662,197163,11287,228335,161564,58025,65295
2017-03-14,381474,148272,189299,9409,166321,128708,57472,54058
2017-03-21,406717,159590,179252,10076,176574,160480,60477,56909
2017-03-28,408853,163648,171571,9239,177046,171114,58920,56929
2017-04-04,397594,155468,166873,9538,173689,166592,58899,54591
2017-04-11,420332,173594,192550,8449,179203,163127,59086,56206
2017-04-18,430589,185786,207435,8552,179950,159602,56301,55000
2017-04-25,411006,157831,178726,10533,181520,167731,61122,54016
2017-05-02,409936,159418,161071,13447,179781,178953,57290,56465
2017-05-09,418301,155581,133182,13279,183860,217059,65581,54781
2017-05-16,431659,164234,126630,14322,186406,236357,66697,54350
2017-05-23,449360,175032,110187,14881,190524,272094,68923,52198
2017-05-30,453280,176226,103357,17221,185792,279432,74041,53270
2017-06-06,447178,164889,90880,23324,188042,279047,70923,53927
2017-06-13,474300,164227,85174,24390,211353,301281,74330,63455
2017-06-20,379269,167245,122393,13014,132839,192994,66171,50868
2017-06-27,400560,179671,120976,14420,136134,211639,70335,53525
2017-07-03,422496,185925,108461,15675,144260,244301,76636,54059
2017-07-11,436899,190267,106479,16654,150147,258152,79831,55614
2017-07-18,446259,199540,108219,15560,150114,268566,81045,53914
2017-07-25,449086,197656,106814,16205,155560,271095,79665,54972
2017-08-01,457254,191477,108840,21170,164304,272865,80303,54379
2017-08-08,461152,201231,107546,22609,157833,279623,79479,51374
2017-08-15,462148,190336,111069,21762,174177,278546,75873,50771
2017-08-22,464445,197818,109842,19103,169989,284515,77535,50985
2017-08-29,469307,194331,107812,19103,173410,287170,82463,55222
2017-09-05,464988,194976,98667,19778,171223,291891,79011,54652
2017-09-12,487425,191102,105044,31985,175600,291785,88738,58611
2017-09-19,431108,190025,127272,15019,149288,236626,76776,52191
2017-09-26,429111,183679,95512,17222,152592,261208,75618,55169
2017-10-03,438663,187053,96220,20643,157203,266511,73764,55289
2017-10-10,450748,195816,97737,23538,158660,275104,72734,54369
2017-10-17,446338,186751,96299,21066,165127,276217,73394,52756
2017-10-24,445018,183539,100035,21994,165585,271183,73900,51806
2017-10-31,440384,173670,101573,21784,174510,257642,70420,59385
2017-11-07,446502,181335,95880,21063,173294,272122,70810,57437
2017-11-14,467842,200023,115437,20880,173624,275809,73315,55716
2017-11-21,465307,195909,100472,21064,175054,292129,73280,51642
2017-11-28,495561,205160,115479,21603,189056,310897,79742,47582
2017-12-05,499124,205400,112294,23524,190380,314914,79820,48392
2017-12-12,505744,206027,92138,34146,185209,320739,80362,58721
2017-12-19,485622,198398,112174,17869,190521,310282,78834,45297
2017-12-26,497744,208913,116765,17294,186931,318343,84606,45342
2018-01-02,542622,236808,108940,18239,199313,365245,88262,50198
2018-01-09,563400,242053,97362,17563,217213,400874,86571,47601
2018-01-16,594038,254344,114854,13173,231291,413138,95230,52873
2018-01-23,608683,262175,117458,14723,236300,429090,95485,47412
2018-01-30,603460,258022,109280,16504,239494,430681,89440,46995
2018-02-06,596937,251369,110546,13460,245381,424817,86727,48114
2018-02-13,564233,230785,103496,13523,235656,411639,84269,35575
2018-02-20,567534,229273,103147,13231,237072,405640,87958,45516
2018-02-27,567463,238287,100310,13402,227585,404040,88189,49711
2018-03-06,557530,227354,94382,12382,230012,403842,87782,46924
2018-03-13,584759,239453,93073,24930,220729,398792,99647,67964
2018-03-20,496964,219434,86695,11439,183424,351964,82667,46866
2018-03-27,514049,234656,93592,9358,187625,361061,82410,50038
2018-04-03,493677,221327,86946,10852,185288,346555,76210,49324
2018-04-10,508204,236344,88881,10485,182400,363023,78975,45815
2018-04-17,509032,238829,87353,9212,181413,362866,79578,49601
2018-04-24,494154,216944,86350,11874,187816,344556,77520,51374
2018-05-01,509659,221011,100443,13555,201842,343942,73251,51719
2018-05-08,515132,226601,106096,11664,201532,342701,75335,54671
2018-05-15,505114,219317,104203,12321,201322,330265,72154,58325
2018-05-22,520648,225960,116216,13843,209287,333009,71558,57580
2018-05-29,552251,230927,137890,13428,227944,338977,79952,61956
2018-06-05,576287,239904,150668,18557,248379,342981,69447,64081
2018-06-12,599561,236617,148392,19517,269450,366976,73977,64676
2018-06-19,478200,190684,154566,12619,208997,251900,65900,59115
2018-06-26,481383,190147,156243,11860,212675,254515,66701,58765
2018-07-03,487131,189005,152258,12078,215126,263065,70922,59730
2018-07-10,477596,179401,155044,12919,217394,247174,67882,62459
2018-07-17,490064,177390,155983,11297,233378,262774,67999,60010
2018-07-24,496665,179515,149875,9960,232134,277207,75056,59623
2018-07-31,499721,174549,151724,9600,231982,278576,83590,59821
2018-08-07,507186,177923,167358,9554,238559,264653,81150,65621
2018-08-14,526571,188428,190217,10195,246723,257030,81225,69129
2018-08-21,532137,188907,193748,10706,254692,258443,77832,69240
2018-08-28,529124,171359,178578,17156,255809,269383,84800,64007
2018-09-04,527579,173335,165372,13706,254016,283775,86522,64726
