label,N,k_atr,R,H,is_baseline,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share,n_pos_years,n_years
EXT_N70_katr1.0_R2.5_H48,70,1.0,2.5,48,False,272,PASS,1.1929858552385881,1.14119767789073,0.2055091673720225,0.12253799212889328,0.35294117647058826,1.3002752362575074,4,8
EXT_N90_katr0.75_R2.0_H48,90,0.75,2.0,48,False,292,PASS,1.1752307658058336,1.106338498795047,0.13983578027576435,0.1491343888781261,0.386986301369863,1.3339300933506109,4,8
EXT_N90_katr1.25_R2.0_H48,90,1.25,2.0,48,False,243,PASS,1.0985757941701915,1.0542238929531773,-0.004407417036208883,0.1116887616194032,0.38271604938271603,-3.864103777683207,2,8
EXT_N70_katr1.0_R1.6_H48,70,1.0,1.6,48,False,321,PASS,1.1798756990269716,1.120455428494788,0.24115968213342182,0.12221061368841883,0.43613707165109034,1.166289869862493,4,8
EXT_N70_katr1.0_R1.65_H48,70,1.0,1.65,48,False,317,PASS,1.2242576660899447,1.1634780249199097,0.3547130158686647,0.11203128341510149,0.4384858044164038,0.6890633365227937,5,8
EXT_N70_katr1.0_R1.9_H48,70,1.0,1.9,48,False,301,PASS,1.2399394179739018,1.1830442613056742,0.3495314043715522,0.10465952282778186,0.40863787375415284,0.5347621075168316,6,8
EXT_N70_katr0.85_R1.75_H48,70,0.85,1.75,48,False,327,PASS,1.1340514219120656,1.0720836166832597,0.0635744847357217,0.16186087752268902,0.40672782874617736,3.8335525793887277,3,8
EXT_N70_katr1.15_R1.75_H48,70,1.15,1.75,48,False,288,PASS,1.2174268310407257,1.164311226550289,0.3322842621026737,0.09456915503357703,0.4236111111111111,0.8527449350992957,6,8
EXT_N60_katr1.0_R1.75_H48,60,1.0,1.75,48,False,337,PASS,1.2133148728441263,1.1569151233692887,0.28815348931145907,0.14203019703156003,0.42136498516320475,1.0805475148609087,4,8
EXT_N80_katr1.0_R1.75_H48,80,1.0,1.75,48,False,292,PASS,1.2088284798010027,1.1496088170768066,0.26677930685183193,0.1039607533488847,0.4246575342465753,0.702747165371167,4,8
EXT_N70_katr1.0_R1.75_H36,70,1.0,1.75,36,False,323,PASS,1.158486846836325,1.09962941849704,0.16607881331886656,0.1291196110188329,0.43034055727554177,1.4696716075086547,4,8
EXT_N70_katr1.0_R1.75_H60,70,1.0,1.75,60,False,308,PASS,1.2535606641283834,1.1936776462202785,0.41028988393733323,0.11936262444396625,0.4253246753246753,0.6340777230883097,4,8
EXT_N70_katr1.0_R1.75_H72,70,1.0,1.75,72,False,304,PASS,1.2723572563645316,1.2117632977785948,0.4307996845758068,0.11936262444396634,0.4243421052631579,0.6366281008435993,4,8
EXT_N70_katr1.0_R1.75_H84,70,1.0,1.75,84,False,303,PASS,1.29184750811426,1.2307875262017829,0.5344292419052941,0.11936262444396623,0.43234323432343236,0.5869400062358855,4,8
EXT_N70_katr1.0_R1.75_H90,70,1.0,1.75,90,False,302,PASS,1.3057194207247937,1.2440306367196792,0.5262181446358841,0.11936262444396607,0.4337748344370861,0.5888810422385076,4,8
EXT_N70_katr1.0_R1.75_H96,70,1.0,1.75,96,False,301,PASS,1.3060826075177496,1.2443595299940844,0.5232462327319619,0.11936262444396627,0.43521594684385384,0.5935760713091882,4,8
EXT_N70_katr1.0_R1.75_H120,70,1.0,1.75,120,False,301,PASS,1.263413527810393,1.2041512060602335,0.4379906607655715,0.11936262444396652,0.4219269102990033,0.7704190681261024,3,8
