opt_type,entry_date,exp_date,S0,S_exit,K_short,K_long,width,width_pct,contracts,gross_credit,net_credit,cost_short,cost_long,total_cost,max_loss,payoff,realized_pnl,realized_pnl_sized,ret_on_credit,ret_on_max_loss,win,loss_amount,hit_full_max_loss,expired_worthless_short,group,width_name
call,2004-06-01,2004-07-08,74.88565826416016,74.3121337890625,80.50983334447415,82.00754650975735,1.4977131652832014,0.02,18.951272069777094,9.889279489868708,9.236003609965335,0.4502539335750455,0.20302194632832588,0.6532758799033713,140.5353129183548,0.0,9.236003609965335,175.03401724989646,1.0,0.06572016255680216,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2004-07-09,2004-08-13,74.50553894042969,71.47808837890625,70.36949621527774,68.87938543646914,1.4901107788085994,0.02,19.28741201327053,11.129763046775887,10.52838190201472,0.43981261046528164,0.16156853429588475,0.6013811447611663,138.48269597884521,0.0,10.52838190201472,203.06523957721873,1.0,0.07602669653126228,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2004-07-09,2004-08-13,74.50553894042969,71.47808837890625,79.75863035666143,81.24874113547003,1.4901107788085994,0.02,19.089541692157912,9.695208775182085,9.092956370917134,0.4223163118222517,0.17993609244269793,0.6022524042649496,139.9181215099428,0.0,9.092956370917134,173.58036974759554,1.0,0.06498769618109099,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2004-08-16,2004-09-22,72.2182846069336,74.69512176513672,67.63522767460553,66.19086198246686,1.4443656921386747,0.02,20.03153650133343,11.415743313005366,10.72212718588488,0.48950485497281093,0.2041112721476765,0.6936161271204875,133.71444202798259,0.0,10.72212718588488,214.78068209599246,1.0,0.08018675487305288,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2004-08-16,2004-09-22,72.2182846069336,74.69512176513672,78.06253097045877,79.50689666259744,1.4443656921386747,0.02,19.777332081984113,9.695614772788463,9.003452394288274,0.46727637390995,0.22488600459023844,0.6921623785001885,135.4331168195792,0.0,9.003452394288274,178.06426788617415,1.0,0.06647895733125939,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2004-09-23,2004-10-29,74.2933578491211,75.79996490478516,70.38453251719478,68.89866536021236,1.4858671569824224,0.02,19.425014435732333,10.854838899905417,10.292732230356533,0.4167388210232603,0.1453678485256231,0.5621066695488834,138.2939834678857,0.0,10.292732230356533,199.9364721578031,1.0,0.07442646434974293,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2004-09-23,2004-10-29,74.2933578491211,75.79996490478516,79.28957673986196,80.77544389684438,1.4858671569824224,0.02,19.241444158969763,9.536844983779291,8.973358039414435,0.4009540344796697,0.1625329098851852,0.5634869443648549,139.6133576588278,0.0,8.973358039414435,172.66036763383525,1.0,0.06427291908087025,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2004-11-01,2004-12-08,76.00757598876953,79.77884674072266,71.54668097741524,70.02652945763984,1.5201515197753963,0.02,19.100038632462343,11.639509895645483,10.978025620316192,0.4762360113602149,0.18524826396907612,0.661484275329291,141.03712635722343,0.0,10.978025620316192,209.68071345620064,1.0,0.07783784244519198,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2004-11-01,2004-12-08,76.00757598876953,79.77884674072266,81.70560467254857,83.22575619232397,1.5201515197753963,0.02,18.884932424939826,10.033087066052548,9.371561763950405,0.45617623937672935,0.20534906272541426,0.6615253021021437,142.64359021358922,0.0,9.371561763950405,176.98131062835327,1.0,0.06569914392870914,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2004-12-09,2005-01-14,80.0608901977539,79.7845687866211,76.41697975959788,74.8157619556428,1.6012178039550804,0.02,18.05059282388131,10.962082635688786,10.456457551267249,0.38983857515687836,0.11578650926465789,0.5056250844215362,149.6653228442408,0.0,10.456457551267249,188.74525763812414,1.0,0.06986559980998043,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2004-12-09,2005-01-14,80.0608901977539,79.7845687866211,84.76501991780536,86.36623772176044,1.6012178039550804,0.02,17.916213081685285,9.841768268073325,9.333899597318107,0.37695643872852624,0.1309122320266927,0.5078686707552189,150.78788079818995,0.0,9.333899597318107,167.2281340686077,1.0,0.061900860652125765,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-01-18,2005-02-24,80.61458587646484,81.13409423828125,77.02640163723228,75.41410991970298,1.6122917175293026,0.02,17.963233854198926,10.936566111948753,10.439659556209977,0.38516035426874873,0.11174620147002823,0.49690655573877696,150.78951219672027,0.0,10.439659556209977,187.5300459664224,1.0,0.06923332666923399,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2005-01-18,2005-02-24,80.61458587646484,81.13409423828125,85.27749238045178,86.88978409798108,1.6122917175293026,0.02,17.83388777149449,9.845207588806693,9.34600948027234,0.37266414912726087,0.12653395940709217,0.49919810853435304,151.88316227265793,0.0,9.34600948027234,166.67568418250045,1.0,0.06153420392640068,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-02-25,2005-04-01,81.93704223632812,79.54925537109375,78.67311132870874,77.03437048398219,1.6387408447265557,0.02,17.65756865965861,10.51077532495035,10.073103301460055,0.3502207033070276,0.08745132018326829,0.4376720234902959,153.80098117119553,0.0,10.073103301460055,177.86651316136476,1.0,0.06549440208217987,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2005-02-25,2005-04-01,81.93704223632812,79.54925537109375,86.18507302928475,87.82381387401131,1.6387408447265557,0.02,17.553715108700246,9.603129268689292,9.163166120834804,0.340020689785861,0.09994245806862756,0.43996314785448853,154.71091835182077,0.0,9.163166120834804,160.8476075788281,1.0,0.059227662911270955,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-04-04,2005-05-11,79.68474578857422,79.4205551147461,75.64687197196976,74.05317705619828,1.5936949157714793,0.02,18.33565400744629,11.463766253486751,10.88688679727988,0.4317368062720206,0.14514264993485126,0.5768794562068719,148.48260477986804,0.0,10.88688679727988,199.61818953315895,1.0,0.07332095778775007,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2005-04-04,2005-05-11,79.68474578857422,79.4205551147461,84.87857747980861,86.47227239558009,1.5936949157714793,0.02,18.1719797878635,10.128149212967053,9.54951053213591,0.4159212055776601,0.16271747525348212,0.5786386808311422,149.819981045012,0.0,9.54951053213591,173.53351237396336,1.0,0.06373989948154411,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2005-05-12,2005-06-17,78.54669189453125,82.54331970214844,74.03469301517514,72.46375917728452,1.570933837890621,0.02,18.718524370945104,11.912806562649969,11.249157646766225,0.4807345399749974,0.18291437590874648,0.6636489158837439,145.8442261422959,0.0,11.249157646766225,210.56763156359705,1.0,0.07713131979452346,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
