opt_type,entry_date,exp_date,S0,K,S_exit,prem_mid,prem_recv,margin,payoff,realized_pnl,ret_on_prem,ret_on_margin,expired_worthless,win,leg,group
call,2004-12-09,2005-01-14,80.0608901977539,84.76501991780536,79.7845687866211,0.1507825754914105,0.14701301110412524,1145.5061330603453,0.0,14.701301110412523,1.0,0.012833891226000147,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-01-18,2005-02-24,80.61458587646484,85.27749238045178,81.13409423828125,0.1490656596509039,0.1453390181596313,1160.534968946567,0.0,14.53390181596313,1.0,0.012523450137099915,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-02-25,2005-04-01,81.93704223632812,86.18507302928475,79.54925537109375,0.13600827591434417,0.13260806901648556,1227.1985723325483,0.0,13.260806901648555,1.0,0.010805754831056892,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-04-04,2005-05-11,79.68474578857422,84.87857747980861,79.4205551147461,0.16636848223106337,0.16220927017528677,1090.5326736655738,0.0,16.220927017528677,1.0,0.014874315469160383,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-05-12,2005-06-17,78.54669189453125,84.29245427059973,82.54331970214844,0.18437416616900748,0.17976481201478228,1014.334081485255,0.0,17.97648120147823,1.0,0.01772244621333819,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-06-20,2005-07-27,82.5705337524414,86.98034850242935,84.19607543945312,0.14062193888068997,0.1371063904086727,1224.139839090901,0.0,13.710639040867271,1.0,0.01120022288552375,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-07-28,2005-09-02,84.72660064697266,88.8326536710331,83.16224670410156,0.1307287281876306,0.1274605099829398,1296.672761531703,0.0,12.746050998293981,1.0,0.009829813177565037,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-09-06,2005-10-13,84.1348648071289,89.17387829473418,80.2103042602539,0.16121721446213222,0.1571867841005789,1194.5146257921087,0.0,15.71867841005789,1.0,0.013159050605708985,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-10-14,2005-11-18,81.0572509765625,86.44791999275878,85.46979522705078,0.1733825744501889,0.16904801008893416,1098.9829189205152,0.0,16.904801008893415,1.0,0.015382223615903232,True,True,call,"UNFILTERED (control, no IV condition)"
call,2005-11-21,2005-12-28,85.90008544921875,90.24142080266365,86.34858703613281,0.1381192807360545,0.13466629871765315,1297.3348035116499,0.0,13.466629871765315,1.0,0.010380227089656111,True,True,call,"UNFILTERED (control, no IV condition)"
