n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,net_win,net_loss,gross_win,gross_loss,is_win,is_loss,oos_win,oos_loss,ftmo_pass_rate,instrument,timeframe,family,variant,params,dsr,oos_holds
395,PASS,1.1074234584517628,1.0650727032328116,0.18907284111066322,0.9239953993104681,5.914531899745269,0.1235915987215937,0.05434002498517671,0.02067090739041287,0.03366911759476384,53.41264285714351,0.4582278481012658,2470,195,200,1.1237885761529443,1.009609646656106,0.8967548376239388,0.07102648143089771,217.6753422354299,204.37604078549816,221.27457643939408,199.81026657024927,111.56614518470701,99.27681020448742,106.10919705072288,105.09923058101077,0.0,SPX500,H4,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",9.323663934080035e-05,True
397,PASS,1.2257118180252446,1.1846995569670886,0.46394980170755923,2.4632883338820006,13.225372982252441,0.09577217587689274,0.11598432593668942,0.019023315626655955,0.09696101031003343,51.652821428572224,0.4357682619647355,2468,197,200,1.2444954570107642,1.1301082060658154,1.4834078762089775,0.8503859098466306,246.90507185788778,208.41155076480447,250.04828732178115,204.00250992491544,123.78308985807317,99.46447707844264,123.12198199981458,108.94707368636185,0.0,SPX500,H4,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.0015464945505687525,True
191,PASS,1.6375955162790528,1.581576459591414,0.9345350698741969,2.7199981283363965,15.453887627500881,0.08238463764078456,0.31779901168585256,0.021538452769859825,0.29626055891599273,46.72649999999976,0.4816753926701571,2428,88,103,1.531666207378261,1.6230682156716962,3.1399196184357985,3.586317321259365,153.88297646585963,97.297209712905,155.90042378826394,95.20081255626611,67.65043514841703,44.16787079491272,86.23254131744255,53.12933891799229,0.0,SPX500,H4,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.06908787348035106,True
127,PASS,1.6631926935494479,1.61300528323762,0.8008691368211315,3.341147147793305,23.627044754891845,0.06274091864750221,0.35134802695251444,0.020008052276513137,0.3313399746760013,47.48978571428597,0.4645669291338583,2441,53,74,1.885786278966903,1.4399169321182241,4.783057102456106,2.7223264625326133,110.72587680392947,68.64570002007729,111.90360445694816,67.28240503397882,50.25346759679139,26.648548755122942,60.47240920713808,41.99715126495436,0.0,SPX500,H4,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.025902407418664564,True
238,PASS,1.5779806522556428,1.5152566139651829,0.8924825486929152,3.456153661798401,17.759957986090853,0.1188291550376184,0.34818810281167334,0.028802570786364196,0.3193855320253091,33.33048214285691,0.3865546218487395,2431,113,125,1.400602012148811,1.6177097997142063,2.3735059878258276,3.3406863345747175,223.539774846333,147.52601822430944,226.24513953933845,143.3763710701602,97.50646959048045,69.6175421316763,126.03330525585255,77.90847609263312,0.0,SPX500,H4,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",0.04868108650236126,True
255,PASS,1.1250612079816176,1.08865469698783,0.19765028575498006,1.8232544439504377,14.282102863628484,0.16418286146128122,0.0599186585004513,0.016632458079412996,0.043286200421038284,65.03514285714255,0.4627450980392157,2438,126,129,1.1750994805928618,1.0067181820791087,1.1572553906368301,0.048260556794082886,135.5432976037937,124.50531649642892,137.453496949921,122.17423903230593,71.19445409194952,60.58589529460983,64.34884351184417,63.9194212018191,0.0,SPX500,H8,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.00010491420390328273,True
203,PASS,1.1974276334792637,1.1651898016261157,0.33463985654932316,1.4001041090698312,12.335442154470844,0.11162858899386016,0.09718259899258173,0.014582919436484465,0.08259967955609729,70.61894642857123,0.4827586206896552,2438,103,100,1.160728715740692,1.169950122344868,1.1470963743406672,1.1731456554109263,118.27360749666393,101.50587254677619,119.65363144806494,99.92556385257083,60.82203392128783,52.399870095809305,57.45157357537611,49.1060024509669,0.0,SPX500,H8,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.0005083715596660767,True
216,PASS,1.0841062699519086,1.060950847787837,0.12238063501339312,3.218339762412266,26.005631030522895,0.16103307558510466,0.04638955582279808,0.012322766521527292,0.03406678930127078,77.01358928571403,0.4166666666666667,2459,104,112,1.0965508713265706,1.029659885404571,0.6451717966652712,0.20281514293670275,128.08564778529544,120.72722129622095,129.15685126699475,119.13670720927037,61.927751609307116,56.4750375277975,66.15789617598833,64.25218376842345,0.0,SPX500,H8,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",3.665334814459129e-05,True
94,PASS,1.699524939207191,1.6605024270243045,0.7147156390831839,4.030069586926076,38.157264126307886,0.05829205496066924,0.31336474696722505,0.013322546201356002,0.300042200765869,71.29389285714296,0.5212765957446809,2435,42,52,1.7604778116506992,1.585507434567971,4.181598393461334,3.320140563874792,70.90474391388115,42.70077704188946,71.5652727055274,42.108986490608245,32.22063327086925,18.30220923980735,38.68411064301189,24.398567802082102,0.0,SPX500,H8,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.01238533686225164,True
54,PASS,1.7271489001797968,1.6917627247149514,0.566443628846085,5.164485596227983,60.35562615106186,0.059555230707026736,0.3780405794245635,0.013558919723929752,0.3644816597006336,70.85224999999991,0.46296296296296297,2452,29,25,2.015701840891148,1.3683269903671897,5.288124171499172,2.278228538767613,48.133975768648405,28.45196614481419,48.48848430357412,28.074293014647694,28.653043069548897,14.214921318363881,19.480932699099508,14.237044826450301,0.0,SPX500,H8,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.002861407997363988,True
