instrument,window,real_oos,stub,mode,thr,label,bh_sharpe,bh_max_dd,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,cost_R_mean,net_R_total,win_rate,risk_med_bps,n_obs,is_pf,oos_pf,is_sharpe,oos_sharpe,oos_trades,top_year_share,repro,dsr_batch,dsr_cum,oos_regime_holds,not_conc,beats_bh,thin,is_oos_split_holds,SURVIVOR
NAS100,in,True,,elevated,2.0,elevated > 2.0,0.842374800132381,0.3567068346922749,10,PASS,1.6532362407995123,1.5152983571059035,0.25284567308270633,0.7360666123936925,178.28537068091302,0.011573760076679212,0.03458410706556004,1.6138676517429367,0.7,100.20347314488951,1383.0,1.4593033456008637,inf,2.6821179419264953,,1.0,0.8913347757995437,,6.150261395101775e-08,3.62223098091182e-19,False,False,False,True,False,False
EURUSD,out,True,,suppressed,0.8,suppressed < 0.8,-0.15774826169787384,0.25404181084612565,33,PASS,2.401556900243646,1.221501996490828,0.24231009196973127,-3.2759868544251893,60.16397720250013,0.02876611787030346,0.2659586158850605,2.605211862181718,0.6060606060606061,9.032329129261914,1117.0,1.0722600164973197,2.3015618663443242,0.48323877138476606,5.4937791037547035,6.0,0.9269551027537866,,1.6467967421165904e-06,3.420182890415832e-15,,False,True,False,False,False
NAS100,in,True,,elevated,1.5,elevated > 1.5,0.842374800132381,0.3567068346922749,41,PASS,1.3219535984987405,1.212064667614222,0.23429890255208544,-0.06430028877473785,41.73623986138587,0.030458726318758192,0.03854897717227412,3.4604109481316816,0.5853658536585366,92.5411438325221,1581.0,0.998912151238964,1.8000659202025802,-0.008155771301034008,4.289963020544301,14.0,0.842523348252128,,6.3118380135143455e-09,9.16366985714852e-22,False,False,False,False,False,False
US30,in,True,,elevated,2.0,elevated > 2.0,0.5467350671711283,0.3698627922971112,17,PASS,1.4285714285714286,1.3198064307352748,0.23426163863646568,0.5087563825350586,85.05684129199405,0.023309271366127572,0.03909792221837136,2.335335322287686,0.5882352941176471,112.64429520561494,1480.0,1.6697942135027115,0.4639753924652966,3.9608629482315045,-5.09565708720289,3.0,0.8312680042413343,,1.664385006965204e-08,1.3109367974152078e-20,False,False,False,True,False,False
US30,in,True,,elevated,1.5,elevated > 1.5,0.5467350671711283,0.3698627922971112,49,PASS,1.2441037256437733,1.13042846877856,0.17134056925846688,-0.18786621021568886,30.361074066416784,0.051482757093592964,0.045014849786427405,2.8279218828422166,0.5510204081632653,73.20766766077801,1510.0,1.2217648482852037,0.8456648365300459,1.5514166048382165,-1.2050627509206318,11.0,1.562193360774563,,5.430268862617189e-09,1.6371331154373272e-21,False,False,False,False,False,False
NAS100,in,True,,elevated,1.2,elevated > 1.2,0.842374800132381,0.3567068346922749,148,PASS,1.1195990642612241,1.0195079067447943,0.041056640136687,-0.2881010411272572,11.65350280163761,0.1494119977481958,0.041254992827846414,1.2567146986648603,0.5202702702702703,83.57251005312702,1871.0,0.8853168116307683,1.4745605157976172,-0.9267914510537668,2.8346850426119903,44.0,5.715817050109474,,8.75909244524847e-12,6.462924767730642e-28,False,False,False,False,False,False
SPX500,in,True,,elevated,1.2,elevated > 1.2,0.642071074203633,0.3503929247450668,174,PASS,1.1753047669851142,1.0086112274402697,0.018349098068760412,-0.5011991954789496,11.605117222395661,0.18968239096850317,0.06800542414121048,0.6583508690983191,0.5229885057471264,53.369548201061114,2175.0,0.8850641931437702,1.3477267808170612,-0.9272584656989037,2.2099965923202314,57.0,11.558594187652737,,1.2536843912186041e-13,1.7593684886754684e-32,,False,False,False,False,False
SPX500,in,True,,elevated,1.5,elevated > 1.5,0.642071074203633,0.3503929247450668,70,PASS,1.1311387704209734,1.0022244732085541,0.003038448447170376,-0.6247124580266306,32.05924897188083,0.15250526233620662,0.054772935510234995,0.06990677750553587,0.5142857142857142,72.75512897385408,2168.0,0.7430188921275489,4.31874331935464,-2.284206616143735,10.51430039169359,16.0,85.1508280453244,,9.666813940354568e-14,1.2512839455514926e-32,,False,False,False,False,False
EURUSD,in,True,,suppressed,0.8,suppressed < 0.8,-0.0014120284319863517,0.23300854468574808,71,PASS,1.770187102438739,0.9792511575719759,-0.027873396503000008,-3.1337031226095844,45.485148886796686,0.06953958603902534,0.2432906209067621,-0.5934557709441952,0.5774647887323944,10.187422451512793,2096.0,0.8875611105111915,1.0924829660992514,-0.867052898637961,0.62026929966057,37.0,,,1.069084926015242e-13,3.0940865704306126e-32,True,False,False,False,False,False
SPX500,in,True,,suppressed,0.8,suppressed < 0.8,0.642071074203633,0.3503929247450668,160,PASS,1.293264788459198,0.9816084610286029,-0.037846111059947445,-1.0483126194157875,14.015024947950447,0.13297612748666296,0.12258591148130407,-1.3193104292507094,0.55,31.196982918827132,2202.0,1.0223829037755008,0.8969148962516237,0.165718224555918,-0.8268412347694164,47.0,,,2.3246841827345386e-14,7.954204948358327e-34,,False,False,False,False,False
XAUUSD,in,True,,elevated,1.5,elevated > 1.5,1.1939063464653195,0.2038764411892057,49,PASS,1.1746282234143504,0.9569789501859094,-0.06025072804093247,-1.001719438104828,33.977262171178005,0.047277029557298816,0.08267894854402852,-0.8676545821661166,0.5102040816326531,45.03887464009208,1384.0,0.709519704031636,1.3170092677939857,-2.4826138678553393,1.9490149638391725,25.0,,,7.950291734873294e-10,3.152802312264485e-22,,False,False,False,False,False
EURUSD,in,True,,elevated,1.5,elevated > 1.5,-0.0014120284319863517,0.23300854468574808,12,PASS,1.1789210411123785,0.8608032611242713,-0.0946117704749822,-5.165273006893294,189.17591901792005,0.0369755656572073,0.12285664584012641,-0.696651528300019,0.5,22.869382774474463,1572.0,0.9030731436557639,0.0,-0.7190697867023941,,1.0,,,2.0209925471237243e-11,5.46383466895298e-26,False,False,False,True,False,False
EURUSD,out,True,,baseline,,baseline (no filter),-0.15774826169787384,0.25404181084612565,496,PASS,1.4789320340992445,0.9666362780292359,-0.14303745523134012,-0.7150588082137989,1.252581232458732,0.21005379151698447,0.18571801716566827,-7.146038379147672,0.5665322580645161,13.598855650770975,1536.0,1.0570251459495776,0.8430543660969013,0.4082756253592695,-1.279036062897729,186.0,,no-ref,2.4919789910223882e-11,1.9245040124132215e-25,,False,True,False,False,False
