instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges
XAUUSD,M15,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",4455,PASS,0.9684190458884432,0.705173269581727,-3.971264040571023,0.0691571681313454,0.7938582713216582,0.9997840887592934,-0.016384351141167174,0.16843699134922271,-0.18482134249038992,3.621553571428649,844,2108,1503,1601,3416,1039,0.673658680810872,0.818785924156335,-4.959449847799367,-2.1898579270595193,0.07368421052631578,95
XAUUSD,M15,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",3769,PASS,0.9680064695484283,0.7316272345182072,-3.5601105751852016,-0.014991190790414286,0.42823935110260125,0.9983470658327779,-0.016715731636039396,0.1471993789627841,-0.1639151105988235,4.189410714285941,1133,1859,777,1601,2888,881,0.7002310654550782,0.8465933027556304,-4.389229462865048,-1.762346936614392,0.031578947368421054,95
XAUUSD,M15,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",3768,PASS,0.9924376326888642,0.801625335561544,-2.32002790670844,0.34914958468722174,0.3980179840780709,0.9961352500280275,-0.004297202578829756,0.12556919078008674,-0.1298663933589165,4.707267857142824,469,1990,1309,1601,2862,906,0.7758207037637954,0.8916313451350935,-2.6617097995237606,-1.0488607855001628,0.11578947368421053,95
XAUUSD,M15,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",6030,PASS,0.9820585009117099,0.6924007006567053,-5.099437345205477,-0.04653858756719162,0.5304987527420906,0.9999994714828452,-0.010780506204704624,0.21814885533604167,-0.22892936154074628,2.6774107142856565,1569,3517,944,1601,4540,1490,0.6631128714785948,0.7910794157588142,-6.1718425629168925,-3.401414953633265,0.05263157894736842,95
XAUUSD,M15,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",3544,PASS,0.9873707104190099,0.7286471459874175,-3.5542314266563904,0.3387866221976835,1.1845102966169283,0.9995756244068363,-0.00781261757514904,0.19511220602759338,-0.20292482360274244,3.0633571428571713,1001,2145,398,1601,2690,854,0.6892007525057919,0.8690622576065413,-4.5364859243234585,-1.5412032342699744,0.12631578947368421,95
XAUUSD,M15,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",5678,PASS,0.9906973139052135,0.7328995998705157,-4.106873025197481,-0.09155281604953344,0.4414872689881615,0.9999319827768639,-0.004806130303972229,0.15831069303756068,-0.1631168233415329,3.643571428571363,1710,2771,1197,1601,4283,1395,0.7010766851149266,0.8413052358144048,-5.124705559801017,-2.3583698413512195,0.07368421052631578,95
XAUUSD,M15,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",2511,PASS,0.9984144855132805,0.6824912256664278,-3.2848250998263904,-1.1989411188635861,3.379164912774782,0.9967431003593168,-0.0008651232967765561,0.21242669826934849,-0.21329182156612506,2.799071428571324,834,1334,343,1601,1746,765,0.6897699696700127,0.6657830791911684,-3.9043152812904895,-4.166805561988772,0.0,95
XAUUSD,M15,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",1358,PASS,0.9657357274455486,0.5934117479708553,-3.100223975996981,-2.354203487606027,9.803807565362005,0.9604313874167772,-0.015269690882653243,0.21001814295960197,-0.22528783384225523,2.8979464285714585,539,565,254,1599,892,466,0.6083329747584012,0.5658477019965226,-4.579264939330774,-4.912962490311763,0.0,95
XAUUSD,M15,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",4889,PASS,0.980648969558559,0.7162499694767194,-3.8141035585701766,-0.9726834635953424,1.8569105833006572,0.9998317992655497,-0.00970620847636313,0.1587291351974081,-0.16843534367377122,3.636142857142886,1337,2318,1234,1601,3604,1285,0.7159891058004887,0.7170232023672052,-4.130251342602369,-3.8280679667528092,0.031578947368421054,95
XAUUSD,M15,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",3731,PASS,1.062661419110423,0.8195753760247998,-2.1774446748434255,-0.3741078300200727,0.863594770779105,0.9925758759288041,0.0351049646515539,0.15372783095075992,-0.11862286629920604,3.743142857142857,958,2003,770,1601,2802,929,0.8039636698839394,0.8704736830884268,-2.4827348649253604,-1.4344759406727272,0.12631578947368421,95
