instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges
NAS100,M5,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",25003,PASS,1.0105575827306164,0.5719086376885385,-11.6257091682729,-0.7292079710420573,0.6543918821343553,1.0,0.0057783761088489646,0.3230232377472514,-0.31724486163840243,15.830571428570693,0.4027116745990481,8515,13301,3187,2018,14599,10404,0.554399512082624,0.597434617084203,-12.606365469198662,-12.422651752373056,0.02127659574468085,94
NAS100,M5,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",7027,PASS,1.0560847747413307,0.7251016936562101,-4.287395529446174,-0.46961223921972045,0.7106602223634657,0.9999997662814589,0.03314338831850875,0.237219849358789,-0.20407646104028027,21.690999999999804,0.3657321758929842,1914,4045,1068,2018,4080,2947,0.7149738609782358,0.7394739839239615,-4.853516694269207,-4.428081388192006,0.0851063829787234,94
NAS100,M5,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",4702,PASS,1.050997981965051,0.7652963517203308,-2.9207241511359094,-0.6361871532199379,1.1648379654219476,0.9998918820408902,0.03139424831218514,0.20770424173645208,-0.17630999342426695,24.18342857142943,0.3626116546150574,1404,2861,437,2018,2757,1945,0.7295223889192742,0.8187328928006393,-3.9240628089730163,-2.331135080634996,0.11702127659574468,94
NAS100,M5,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",8741,PASS,1.1092797148106188,0.7359654341728142,-4.3664106409181835,-0.4362602446361113,0.7590467344691021,0.9999999997293737,0.07326838725041405,0.30778867807559024,-0.23452029082517617,16.570607142855806,0.3016817297792015,1826,5781,1134,2018,5087,3654,0.7410408129214586,0.7287802030074182,-4.673928279853426,-4.821000742639387,0.09574468085106383,94
NAS100,M15,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",5397,PASS,1.0301931981882582,0.7991015934380165,-2.6370680492329495,0.18515912250309122,0.47316072046213353,0.9992636096857909,0.0158309219030734,0.1385843023883587,-0.1227533804852853,39.17785714285674,0.39633129516397997,1087,2644,1666,2018,3139,2258,0.7804438828754646,0.825751572972545,-3.177832824847314,-2.3744827738880954,0.10638297872340426,94
NAS100,M15,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",4711,PASS,0.9990622389894709,0.7935436886350703,-2.6762263451133714,0.05554851688746901,0.3343078458355899,0.9981857566346605,-0.0004917985839872834,0.12278885620397896,-0.12328065478796624,44.998875000001135,0.421142008066228,1458,2353,900,2018,2720,1991,0.7663011931522588,0.8324231142937332,-3.2898507440440055,-2.2191392293721677,0.06382978723404255,94
NAS100,M15,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",4873,PASS,1.054206174173552,0.8828574373880338,-1.3999334364501579,0.3904030022550986,0.2771090710601256,0.992775499489067,0.03151660881594922,0.10842000684388155,-0.07690339802793233,49.18514285714264,0.35624871742253233,676,2688,1509,2018,2842,2031,0.8377358376118159,0.9493599459621104,-1.9260392680419036,-0.5830263373137701,0.13829787234042554,94
NAS100,M15,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",7762,PASS,1.0335846408596578,0.7681152626238091,-3.866944089340949,0.007054408139105652,0.4318730470261416,0.9999985868270455,0.019763176669571513,0.1833263997299481,-0.16356322306037657,28.67175000000134,0.36962123164132954,2051,4443,1268,2018,4481,3281,0.7900964910178251,0.7389041642888975,-3.6976086638968595,-4.853436417722246,0.0851063829787234,94
NAS100,M15,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",4734,PASS,1.0412838577457604,0.8272728151536299,-2.2126025532804907,0.2891190948860445,0.7201595196158173,0.9983159040069121,0.024836994458737747,0.14491089568625848,-0.12007390122752072,34.344214285714315,0.3692437684833122,1326,2799,609,2017,2723,2011,0.8537276108779559,0.7922162926557111,-2.0020296329318614,-2.8567379247345737,0.1276595744680851,94
NAS100,M15,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",7364,PASS,1.030986270195391,0.7990733068728566,-3.2170776647183734,-0.09285205885668775,0.40826685349314307,0.9998959324983636,0.015786747294674507,0.1335358253365538,-0.1177490780418793,38.79544642857218,0.42653449212384575,2241,3557,1566,2018,4270,3094,0.807158026680156,0.7881133833368323,-3.313788223969957,-3.710673653445196,0.0851063829787234,94
NAS100,M15,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",3649,PASS,0.9399941434208765,0.6552019858857274,-3.8883564428970057,-1.0690528738638825,2.6647530676610773,0.9998883538637823,-0.034368480089732756,0.20525809436249354,-0.23962657445222632,25.11021428571439,0.39216223622910384,1225,2046,378,2018,2164,1485,0.6290298843281424,0.6946019658252282,-5.0690618038626765,-4.083076715465846,0.05319148936170213,94
NAS100,M15,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",1937,PASS,0.8651433738473308,0.5321643859400661,-3.940497630564138,-2.0269891325096165,7.162367706160575,0.9956861467263501,-0.0645016701841238,0.2124795612678103,-0.2769812314519341,24.380071428571682,0.4403717088280847,746,876,315,2018,1214,723,0.5133707736220138,0.5643739566272167,-6.148488056310799,-5.072532358184136,0.0,94
NAS100,M15,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",6554,PASS,0.9495192624819491,0.7180515927814157,-3.983220091643736,-0.7449981506248038,1.0898343031754707,0.9999915713671084,-0.02629129456375147,0.1451142708351245,-0.17140556539887597,35.37121428571663,0.40311260299054014,1877,3232,1445,2018,3850,2704,0.7211979116060874,0.7136276361024069,-4.3097136758494825,-4.424288405493278,0.031914893617021274,94
NAS100,M15,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",4752,PASS,0.9867259678474286,0.801168854641794,-2.466432083550618,-0.37186189519328194,0.7278042940931528,0.9990385557263979,-0.007764351010406993,0.12472073199191079,-0.13248508300231776,40.22507142857194,0.3728956228956229,1161,2693,898,2018,2751,2001,0.7841676241144766,0.8253427361137524,-2.8095148257593863,-2.32127235090699,0.10638297872340426,94
NAS100,M15,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",3267,PASS,0.9332962216664076,0.7747893874667887,-2.437778871839478,-0.4190785848283991,0.6534529078433091,0.9974637705819416,-0.043239956627863466,0.12103936506955629,-0.16427932169741974,40.39278571428804,0.33486378940924394,916,2090,261,2017,1876,1391,0.7809910754280035,0.7665150803526112,-2.5561274027456107,-2.796054551522167,0.07446808510638298,94
NAS100,M15,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",8745,PASS,1.03109172505072,0.7576301836608434,-4.209950442677518,-0.43973474156023873,0.6399172761978376,0.9999993070232551,0.016562871552303928,0.16971091349032852,-0.15314804193802461,29.579678571428303,0.41726700971983993,2915,4479,1351,2018,5064,3681,0.7502780183595501,0.7679568877066021,-4.638174818667933,-4.420114518537366,0.09574468085106383,94
NAS100,M15,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",2337,PASS,0.9683474397744266,0.7983597106254888,-1.7566248814922203,-0.28834940644972495,0.938853939509618,0.9726806325480549,-0.018333763576358457,0.11333749025268353,-0.13167125382904196,42.249428571429235,0.37441163885323064,538,1305,494,2018,1369,968,0.7691571453838543,0.8405763227737452,-2.4490881064711574,-1.5199775754006095,0.09574468085106383,94
NAS100,M15,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1415,PASS,1.064445560044352,0.9124302087991358,-0.6295878224541007,-0.20186073685553188,1.6816526109242242,0.6914837800470474,0.03887673056609712,0.09693065203415621,-0.0580539214680591,50.774928571427154,0.3759717314487632,409,843,163,2018,825,590,0.8814161049880701,0.9567045291509948,-1.0976382052398468,-0.38847110332459567,0.07446808510638298,94
NAS100,M15,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",2852,PASS,1.0301891000837844,0.8328542166271171,-1.5753990485438536,-0.20510871213188206,1.1499036814261223,0.9898485234262021,0.01965547826061604,0.14601171077303468,-0.12635623251241865,32.53189285714325,0.3169705469845722,503,1820,529,2018,1668,1184,0.8184765860083284,0.8533500145771669,-1.9457302538019328,-1.4818987535385264,0.19148936170212766,94
