entry_date,exp_date,S0,K,S_exit,prem_paid_total,payoff,realized_pnl,ret_on_prem,expired_worthless
1997-09-02,1997-10-02,54.8891830444336,52.14472389221192,58.6146240234375,0.01602688094447939,0.0,-0.01602688094447939,-1.0,True
1997-11-03,1997-12-03,56.11919403076172,53.31323432922363,59.60517501831055,0.01622835283671075,0.0,-0.01622835283671075,-1.0,True
1998-01-02,1998-01-30,59.40250396728516,56.432378768920906,60.16749572753906,0.017011372817521856,0.0,-0.017011372817521856,-1.0,True
1998-02-02,1998-03-04,60.16749572753906,57.15912094116211,64.14550018310547,0.017065949139907857,0.0,-0.017065949139907857,-1.0,True
1998-04-01,1998-05-01,67.4753646850586,64.10159645080566,69.10565948486328,0.01895291586273574,0.0,-0.01895291586273574,-1.0,True
1998-06-01,1998-07-01,66.91915893554688,63.57320098876953,70.57623291015625,0.01861246331927388,0.0,-0.01861246331927388,-1.0,True
1998-08-03,1998-09-02,68.8253173828125,65.38405151367188,61.16737747192383,0.0189607912747081,0.1301503371436851,0.111189545868977,5.864182789528058,False
1998-10-01,1998-10-30,62.87019348144531,59.72668380737304,67.96778106689453,0.018510198822622847,0.0,-0.018510198822622847,-1.0,True
1998-11-02,1998-12-02,67.96778106689453,64.5693920135498,72.46681213378906,0.019817110292628105,0.0,-0.019817110292628105,-1.0,True
1999-01-04,1999-02-03,76.44654846191406,72.62422103881836,78.98442840576172,0.022072523278656955,0.0,-0.022072523278656955,-1.0,True
1999-03-01,1999-03-31,76.60150909423828,72.77143363952636,79.77801513671875,0.021908192389741222,0.0,-0.021908192389741222,-1.0,True
1999-04-01,1999-04-30,79.77801513671875,75.7891143798828,82.80757904052734,0.0225952050445877,0.0,-0.0225952050445877,-1.0,True
1999-05-03,1999-06-02,82.80757904052734,78.66720008850098,80.71021270751953,0.023227125260265536,0.0,-0.023227125260265536,-1.0,True
1999-07-01,1999-07-30,85.39503479003906,81.1252830505371,82.74591827392578,0.023717796633584653,0.0,-0.023717796633584653,-1.0,True
1999-08-02,1999-09-01,82.74591827392578,78.60862236022949,83.33030700683594,0.022756206592728336,0.0,-0.022756206592728336,-1.0,True
1999-10-01,1999-10-29,80.4786376953125,76.45470581054687,85.63552856445312,0.02191531241227154,0.0,-0.02191531241227154,-1.0,True
1999-11-01,1999-12-01,85.63552856445312,81.35375213623047,87.76469421386719,0.023093757934955442,0.0,-0.023093757934955442,-1.0,True
2000-01-03,2000-02-02,92.0334930419922,87.43181838989258,88.3913345336914,0.024576777355043017,0.0,-0.024576777355043017,-1.0,True
2000-03-01,2000-03-31,86.11986541748047,81.81387214660644,94.46614837646484,0.022808950581407174,0.0,-0.022808950581407174,-1.0,True
2000-04-03,2000-05-03,94.46614837646484,89.7428409576416,88.4197006225586,0.02478096317845548,0.041581584442622166,0.016800621264166687,0.6779648209466335,False
2000-06-01,2000-06-30,89.7153549194336,85.22958717346191,91.48108673095705,0.023766460299015683,0.0,-0.023766460299015683,-1.0,True
2000-07-03,2000-08-02,91.48108673095705,86.90703239440919,91.04818725585938,0.024000379293293777,0.0,-0.024000379293293777,-1.0,True
2000-09-01,2000-09-29,95.92822265625,91.13181152343749,90.66537475585938,0.024921775121006046,0.04401830635236915,0.019096531231363102,0.766258869548463,False
2000-10-02,2000-11-01,90.66537475585938,86.13210601806641,89.93551635742188,0.023763920047536646,0.0,-0.023763920047536646,-1.0,True
2000-12-01,2000-12-29,83.50445556640625,79.32923278808593,83.06803894042969,0.021714399722488637,0.0,-0.021714399722488637,-1.0,True
2001-01-02,2001-02-01,83.06803894042969,78.9146369934082,87.33741760253906,0.02139565030923329,0.0,-0.02139565030923329,-1.0,True
2001-03-01,2001-03-30,78.48524475097656,74.56098251342773,74.0871353149414,0.02001984073236982,0.010382680295240214,-0.009637160437129607,-0.48138047479805407,False
2001-04-02,2001-05-02,74.0871353149414,70.38277854919433,80.51876068115234,0.018829529390211545,0.0,-0.018829529390211545,-1.0,True
2001-06-01,2001-06-29,79.96636199951172,75.96804389953613,78.06088256835938,0.02014225337494268,0.0,-0.02014225337494268,-1.0,True
2001-07-02,2001-08-01,78.06088256835938,74.1578384399414,77.74883270263672,0.01946649301761555,0.0,-0.01946649301761555,-1.0,True
2001-09-04,2001-10-04,72.68062591552734,69.04659461975098,68.66495513916016,0.01795449933926263,0.010443859748222524,-0.007510639591040107,-0.4183151782247669,False
2001-11-01,2001-11-30,67.61685943603516,64.2360164642334,72.88944244384766,0.01664842941812434,0.0,-0.01664842941812434,-1.0,True
2001-12-03,2002-01-02,72.88944244384766,69.24497032165527,74.08927154541016,0.017774637510859823,0.0,-0.017774637510859823,-1.0,True
2002-02-01,2002-03-01,72.58223724365234,68.95312538146972,72.94134521484375,0.017526896389092914,0.0,-0.017526896389092914,-1.0,True
2002-04-01,2002-05-01,73.65190887451172,69.96931343078613,70.21760559082031,0.017615697989049987,0.0,-0.017615697989049987,-1.0,True
2002-06-03,2002-07-03,68.95703887939453,65.50918693542481,61.64091873168945,0.016331354505616204,0.17854842339138657,0.16221706888577037,9.932860671782331,False
2002-08-01,2002-08-30,58.83350372314453,55.891828536987305,59.23360061645508,0.015458596548938249,0.0,-0.015458596548938249,-1.0,True
2002-09-03,2002-10-03,59.23360061645508,56.27192058563232,53.35992813110352,0.015428063737872453,0.04726204264310295,0.0318339789052305,2.0633813449373553,False
2002-11-01,2002-11-29,57.38575744628906,54.516469573974604,60.92535781860352,0.01530243430814006,0.0,-0.01530243430814006,-1.0,True
2002-12-02,2002-12-31,60.92535781860352,57.87908992767334,57.47883224487305,0.01608946781888329,0.0097025063738887,-0.0063869614449945915,-0.39696536373307384,False
2003-01-02,2003-01-31,57.47883224487305,54.60489063262939,56.06513595581055,0.015122899176574547,0.0,-0.015122899176574547,-1.0,True
2003-02-03,2003-03-05,56.06513595581055,53.261879158020015,54.36484146118164,0.014608876399678119,0.0,-0.014608876399678119,-1.0,True
2003-04-01,2003-05-01,55.42781066894531,52.656420135498045,60.111114501953125,0.014298629935692258,0.0,-0.014298629935692258,-1.0,True
2003-06-02,2003-07-02,63.41426086425781,60.24354782104492,65.49453735351562,0.016201807205951935,0.0,-0.016201807205951935,-1.0,True
2003-08-01,2003-08-29,65.2451400756836,61.98288307189941,66.59080505371094,0.016507615801626116,0.0,-0.016507615801626116,-1.0,True
2003-09-02,2003-10-02,66.59080505371094,63.26126480102539,67.51202392578125,0.016682458800182248,0.0,-0.016682458800182248,-1.0,True
2003-11-03,2003-12-03,69.3901138305664,65.92060813903808,70.6158218383789,0.01721367421421138,0.0,-0.01721367421421138,-1.0,True
2004-01-02,2004-01-30,73.6772689819336,69.99340553283692,75.13386535644531,0.018097446801727275,0.0,-0.018097446801727275,-1.0,True
2004-02-02,2004-03-03,75.13386535644531,71.37717208862304,76.59707641601562,0.018273334956203032,0.0,-0.018273334956203032,-1.0,True
2004-04-01,2004-04-30,75.144775390625,71.38753662109374,73.72293853759766,0.018096046777083735,0.0,-0.018096046777083735,-1.0,True
2004-05-03,2004-06-02,73.72293853759766,70.03679161071777,75.16473388671875,0.01757917837269247,0.0,-0.01757917837269247,-1.0,True
2004-07-01,2004-07-30,76.37267303466797,72.55403938293456,73.91202545166016,0.01803152587900954,0.0,-0.01803152587900954,-1.0,True
2004-08-02,2004-09-01,73.91202545166016,70.21642417907715,74.23210906982422,0.017273489230581526,0.0,-0.017273489230581526,-1.0,True
2004-10-01,2004-10-29,74.8357162475586,71.09393043518067,75.79996490478516,0.017319324412726638,0.0,-0.017319324412726638,-1.0,True
2004-11-01,2004-12-01,75.79996490478516,72.0099666595459,80.07435607910156,0.017370441556040127,0.0,-0.017370441556040127,-1.0,True
2005-01-03,2005-02-02,81.55921936035156,77.48125839233398,80.47958374023438,0.018506308511714455,0.0,-0.018506308511714455,-1.0,True
2005-03-01,2005-03-31,81.39729309082031,77.32742843627929,79.90827941894531,0.018283244490836056,0.0,-0.018283244490836056,-1.0,True
2005-04-01,2005-04-29,79.90827941894531,75.91286544799804,78.41118621826172,0.017770281245483403,0.0,-0.017770281245483403,-1.0,True
2005-05-02,2005-06-01,78.41118621826172,74.49062690734863,81.62890625,0.01727400666343856,0.0,-0.01727400666343856,-1.0,True
2005-07-01,2005-07-29,81.06057739257812,77.00754852294922,84.16207122802734,0.01768203895004646,0.0,-0.01768203895004646,-1.0,True
2005-08-01,2005-08-31,84.16207122802734,79.95396766662597,83.37310791015625,0.01817788081199076,0.0,-0.01817788081199076,-1.0,True
2005-09-01,2005-09-30,83.37310791015625,79.20445251464844,84.04220581054688,0.01782888263190149,0.0,-0.01782888263190149,-1.0,True
2005-10-03,2005-11-02,84.04220581054688,79.84009552001953,83.16108703613281,0.017795384717894904,0.0,-0.017795384717894904,-1.0,True
2005-12-01,2005-12-30,85.66102600097656,81.37797470092774,85.49710845947266,0.017998860604689776,0.0,-0.017998860604689776,-1.0,True
2006-01-03,2006-02-02,85.49710845947266,81.22225303649903,87.13824462890625,0.017786892326260368,0.0,-0.017786892326260368,-1.0,True
2006-03-01,2006-03-31,88.05152130126953,83.64894523620605,89.50471496582031,0.018139334476590104,0.0,-0.018139334476590104,-1.0,True
2006-04-03,2006-05-03,89.50471496582031,85.0294792175293,90.23548889160156,0.018256484631436573,0.0,-0.018256484631436573,-1.0,True
2006-06-01,2006-06-30,87.9052734375,83.510009765625,88.13457489013672,0.017753024882924028,0.0,-0.017753024882924028,-1.0,True
2006-07-03,2006-08-02,88.13457489013672,83.72784614562988,88.68855285644531,0.017629124689966923,0.0,-0.017629124689966923,-1.0,True
2006-09-01,2006-09-29,90.46116638183594,85.93810806274413,92.90381622314452,0.017925277105205598,0.0,-0.017925277105205598,-1.0,True
2006-10-02,2006-11-01,92.90381622314452,88.25862541198728,95.18499755859376,0.018226924209698604,0.0,-0.018226924209698604,-1.0,True
2006-12-01,2006-12-29,97.73745727539062,92.85058441162109,99.04430389404295,0.018985958466331217,0.0,-0.018985958466331217,-1.0,True
2007-01-03,2007-02-02,99.04430389404295,94.0920886993408,101.27533721923828,0.01904913999959615,0.0,-0.01904913999959615,-1.0,True
2007-03-01,2007-03-30,98.56175231933594,93.63366470336913,99.7039794921875,0.0187682197414195,0.0,-0.0187682197414195,-1.0,True
2007-04-02,2007-05-02,99.7039794921875,94.71878051757812,104.99810028076172,0.018806092047612133,0.0,-0.018806092047612133,-1.0,True
2007-06-01,2007-06-29,107.65223693847656,102.26962509155273,106.07828521728516,0.020104956377430025,0.0,-0.020104956377430025,-1.0,True
