instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges,dsr,oos_holds,dsr_survives,ftmo_clears,SURVIVOR
US30,M5,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",6868,PASS,1.002443123095369,0.7056136476392063,-4.658268777829815,-0.5050037492213878,0.6155771878410419,0.9999999033284882,0.0014810139587028,0.2228420114655309,-0.221360997506828,37.16678571428747,0.3523587652882935,1860,4059,949,1922,3501,3367,0.7486644763197221,0.6640965316866894,-4.064662543556753,-6.1970265153061925,0.0851063829787234,94,0.0,False,False,False,False
US30,M5,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",4522,PASS,1.0356451254653285,0.7667048313199207,-2.906465137502919,-0.6915252902485143,1.2510575186556556,0.9998016247393736,0.022033534721223,0.1955955464203878,-0.1735620116991648,41.89371428571394,0.3575851393188854,1354,2754,414,1922,2276,2246,0.8638868526052221,0.6775592988413228,-1.7835198703084871,-4.788759369589577,0.0957446808510638,94,0.0,False,False,False,False
US30,M5,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",8539,PASS,1.017951420138017,0.6882101573961441,-5.195121822907376,-0.6035537755006912,0.927601828205824,0.9999999999953963,0.0124237812305193,0.2951316498456604,-0.2827078686151411,27.67564285714616,0.2828200023421946,1736,5835,968,1922,4354,4185,0.7476965971159479,0.6315287685728386,-4.363185319387925,-7.072630442026394,0.0851063829787234,94,0.0,False,False,False,False
US30,M15,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",5234,PASS,1.0330175864476108,0.8112309169000723,-2.413747282245585,0.1213624111417361,0.3554616279995959,0.998665180936537,0.0172296094818081,0.1313884048236134,-0.1141587953418052,66.49942857143105,0.3895682078716087,1084,2535,1615,1922,2665,2569,0.8442400271634084,0.7793289618005106,-2.0980341752629683,-3.1564470973594303,0.1595744680851064,94,0.0,False,False,False,False
US30,M15,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",4498,PASS,1.0086419945928546,0.8135479392225503,-2.330983659969957,-0.0373500630278398,0.4780910377220957,0.99530817269035,0.0044891200100479,0.1139396142080928,-0.1094504941980448,78.75325000000157,0.4195197865718097,1396,2206,896,1922,2279,2219,0.8461822757382009,0.7814438823156685,-1.9989891482520483,-3.057232922890388,0.0957446808510638,94,0.0,False,False,False,False
US30,M15,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",4589,PASS,1.0093791506986565,0.8555787960543644,-1.6694109972862916,0.4679940102843413,0.5315930409234961,0.9954336061719172,0.0054680939568833,0.0998052544080785,-0.0943371604511951,82.99100000000908,0.3458269775550229,612,2523,1454,1922,2375,2214,0.8797011973791219,0.830544103246213,-1.3337932040953646,-2.059668820187862,0.1489361702127659,94,0.0,False,False,False,False
US30,M15,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",7362,PASS,0.9937937333934292,0.7494412987796013,-4.127318453270315,-0.0739313117079849,0.3839674580436627,0.9999992899736616,-0.003727236712959,0.1759645801543272,-0.1796918168672863,47.98453571429127,0.3576473784297745,1949,4300,1113,1922,3765,3597,0.8264866015669875,0.6768947223314058,-2.8780767856260345,-6.297754559997188,0.1170212765957446,94,0.0,False,False,False,False
US30,M15,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",4334,PASS,0.975134619229648,0.7901581271216565,-2.732638822607096,0.2180488582631055,0.6012840333111682,0.9992321618121792,-0.0153497460612579,0.1331189804101787,-0.1484687264714366,58.390178571427896,0.3553299492385787,1176,2620,538,1921,2249,2085,0.8706622740670283,0.7097351632663091,-1.7717861936207453,-4.268197370983744,0.1170212765957446,94,0.0,False,False,False,False
US30,M15,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",6974,PASS,0.9927133597538064,0.7814062460290114,-3.418105707404912,-0.1147668861518062,0.3509505627697713,0.9999492822351012,-0.0038101550566956,0.1271484307700385,-0.1309585858267341,65.51549107143,0.4143963292228276,2143,3461,1370,1922,3583,3391,0.8410850851980826,0.7238578020650841,-2.554972249360917,-5.006087780831215,0.0744680851063829,94,0.0,False,False,False,False
US30,M15,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",3186,PASS,0.9770152132064336,0.705409124956761,-3.22742070108848,-1.0060535545955351,3.400298740279865,0.9984940268846456,-0.0127547128818647,0.1826600930145506,-0.1954148058964153,47.01493750000009,0.4070935342121782,1071,1712,403,1921,1796,1390,0.7257167039707068,0.6806139345153271,-3.6704674013139487,-4.115416262895092,0.0319148936170212,94,0.0,False,False,False,False
US30,M15,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",1663,PASS,0.9724584854326792,0.6327316872399172,-2.909610131569675,-2.0259318227639707,9.69257784316398,0.9697362982263232,-0.0123638135539637,0.1888862277538286,-0.2012500413077923,47.3592857142794,0.4750450992182802,670,698,295,1917,990,673,0.6393474645184537,0.6236072138595307,-4.336245178611573,-4.133205041002661,0.0,94,0.0,False,False,False,False
US30,M15,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",6095,PASS,1.0349372625145987,0.8002180160342546,-2.751791805841429,-0.6680927841613754,0.9753789350786546,0.9994908609948586,0.0175252186931851,0.1332249780179944,-0.1156997593248092,62.5109999999986,0.4280557834290402,1814,2890,1391,1922,3267,2828,0.8014786331538082,0.7987793539248373,-2.898780645078148,-3.044584443518518,0.0638297872340425,94,0.0,False,False,False,False
