instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,bars_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025
NAS100,M1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.9347427706235681,0.3554812603204959,45428,14754,PASS,7320,7434,1.0179839280769085,0.7490467051357959,-6.191321219585008,-0.3800672357019899,0.1919427734601733,0.9999999999999272,0.011392165274037467,0.20370044896892558,-0.19230828369488814,168.0800064531488,-2837.31641763438,16.544357142856825,11.801835647177281,0.34688897925986173,0.35258235054900366,4520,9230,1004,1683,0,7.185748954244583e-14,8.766488413547236,443.14260249554366,8646,6108,0.7367318285150537,0.7670488988643974,-6.4132086594289195,-5.871916111253916,-252.75988285715513,,8,0,-265.86557576053235,-435.0808542341684,-385.8603634340355,-427.9007779195507,-252.75988285715513,-323.5877756218394,-333.5321060782554,-412.7290817288426
NAS100,M1,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.9347427706235681,0.3554812603204959,97075,42209,PASS,21174,21035,0.9924787009438372,0.6080908397259842,-14.881651096215576,-0.6764487040488345,1.1750512244876452,1.0,-0.004274546027275211,0.28682284276093895,-0.2910973887882141,-180.4243132652594,-12286.92968336173,12.048535714286118,8.657081636071714,0.39370750313914094,0.41095500959511005,15020,23545,3644,1683,0,7.409837286387844e-59,25.07961972667855,443.14260249554366,25109,17100,0.5888729998889695,0.6380464512519701,-15.216143101254962,-14.674512966138591,-1178.3921086248276,,8,0,-1212.6466922278994,-2227.025119401196,-1466.1833249850374,-1767.7738206635045,-1178.3921086248276,-1590.5309632704814,-1362.2075122633098,-1482.1701419254746
NAS100,M1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.9347427706235681,0.3554812603204959,14074,11650,PASS,6360,5290,1.015697687714807,0.7372637728847622,-5.735638887218402,-0.31358080460095994,0.15940729833853506,0.999999999946994,0.009433566922934133,0.20143085508023378,-0.1919972881572997,109.90105465218264,-2236.7684070325413,16.431714285714406,11.732945446428014,0.3593991416309013,0.3727896995708154,3074,6833,1743,1683,0,5.1052102666845324e-11,6.922162804515746,443.14260249554366,6842,4808,0.7409393001505221,0.7319265136670683,-5.849118690002507,-5.588491004370664,-154.7878457135025,,8,0,-154.7878457135025,-431.89589532798,-155.46476095291516,-380.4026744526397,-183.5048534483155,-248.35551173276596,-349.70769950950984,-332.6491658949126
NAS100,M1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.9347427706235681,0.3554812603204959,8752,7913,PASS,4219,3694,1.0123580549976732,0.7543146758657856,-4.36094513353649,-0.38306046459280724,0.2030745033415542,0.9999998559150782,0.007780281232329657,0.19312430717733695,-0.1853440259450073,61.56536539142458,-1466.6272773028427,16.823142857141647,12.156336556011901,0.34727663338809556,0.3552382155945912,2365,4918,630,1683,0,1.678420596434383e-07,4.7017231134878195,443.14260249554366,4626,3287,0.7811039026335379,0.7172146829277941,-3.8519206928406584,-5.142028596228443,-33.03286021628309,,8,0,-33.03286021628309,-239.3033416365277,-186.01778886750796,-210.71845424598393,-89.72315652513059,-191.1337791412502,-242.84722841244243,-273.8506682577168
NAS100,M1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",0.9347427706235681,0.3554812603204959,16777,14438,PASS,7628,6810,1.0157714471586428,0.7085378086573364,-6.520234092612918,-0.3746622057222401,0.46681741022935297,1.0,0.010865678429788238,0.2678316147950968,-0.25696593636530857,156.87866516928258,-3710.0741892423252,12.275919642856934,8.75235286508535,0.2859814378722815,0.2962321651198227,2807,9821,1810,1683,0,3.853746589571266e-18,8.578728461081402,443.14260249554366,8443,5995,0.688110837905893,0.7389639261037316,-7.1362547546519615,-5.6668134174029685,-312.633648968441,,8,0,-326.67179904772433,-681.3681085371508,-312.633648968441,-712.8235654392666,-341.8651676587635,-365.0476404679138,-509.1048279307344,-460.55943119233103
US30,M1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.6156876339125823,0.3439804549947158,59150,24837,PASS,13542,11295,1.0186084499095516,0.6701904097416637,-10.994673429952176,-0.01575861236775016,-0.13275341442226551,1.0,0.00973932316210831,0.22922736091794438,-0.2194880377558361,241.8955693772841,-5451.424393741701,27.205999999998312,8.03919569399424,0.3831380601521923,0.41261021862543784,4632,12177,8028,1606,0,1.0299395473289886e-25,15.465130759651307,442.0442092154421,13324,11513,0.6737737667884683,0.665967902645145,-10.96368357388852,-11.034716159202548,-361.8732391338576,,8,0,-625.9148469791389,-962.3268296955739,-445.5697480896642,-521.1713712248744,-361.8732391338576,-799.7808206704507,-986.1873478665066,-748.6001900816343
US30,M1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.6156876339125823,0.3439804549947158,59150,20679,PASS,11210,9469,1.0001755115910573,0.6851748506312048,-9.998314946747906,-0.021821368061102037,-0.009477455958346592,1.0,9.523312999711216e-05,0.2099708774983358,-0.2098756443683387,1.9693258952102823,-4340.018449892876,30.027089285711554,8.930409783440998,0.40717636249335076,0.42057159437110114,6782,10847,3050,1606,0,1.6293713455148324e-20,12.876089663760897,442.0442092154421,11214,9465,0.6843089282900443,0.6862196265988725,-10.230305800304807,-9.737117256999651,-311.8377878851864,,8,0,-524.7142529522399,-745.6394208425672,-389.7738521161529,-407.69798264151615,-311.8377878851864,-648.1020537619042,-746.2182357221352,-566.0348639711738
US30,M1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.6156876339125823,0.3439804549947158,90898,20443,PASS,11036,9407,1.0299087767756387,0.7547285750574989,-6.862610812632011,-0.025360039279482827,0.11598166686815992,1.0,0.017437948094783665,0.19240711360076734,-0.17496916550598368,356.48397290166247,-3576.8946504388246,32.298714285716414,9.563078602088403,0.34500807122242333,0.36496600303282295,2347,11398,6698,1606,0,2.0766795624859802e-17,12.729140722291406,442.0442092154421,10949,9494,0.7674760064393515,0.7398872724676082,-6.377496588662373,-7.465372103740296,-136.44450282773207,,8,0,-382.98622670420826,-581.5227580994951,-375.8538818463839,-347.37064220897935,-136.44450282773207,-616.9826951069817,-600.9468374613917,-534.787106183652
US30,M1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",0.6156876339125823,0.3439804549947158,59035,36712,PASS,18818,17894,1.0020633218566868,0.6166914709399351,-16.060141112504176,-0.020561932312369788,0.0015768891488341374,1.0,0.0012589042709096677,0.3132718662940572,-0.31201296202314754,46.21689359363572,-11454.619861793792,19.11903571428411,5.651217227091176,0.34876879494443236,0.36325996949226413,10033,21889,4790,1606,0,2.2993542584976095e-54,22.859277708592778,442.0442092154421,19550,17162,0.6096661234183205,0.6246619523218802,-16.46123989120918,-15.607296869362735,-752.3381034382609,,8,0,-1297.2840210951852,-2028.9535343938485,-990.2649197542025,-1131.0284893736973,-752.3381034382609,-1722.4208151171447,-1858.6875860664093,-1673.6423925550428
US30,M1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.6156876339125823,0.3439804549947158,36607,22120,PASS,11565,10555,1.0105175264252761,0.652605510502519,-11.823105021508388,0.06297927799617113,0.11259042487263438,1.0,0.006725497518420553,0.29667203436211403,-0.28994653684369354,148.76800510746264,-6413.617394982501,19.958071428571202,5.886026116831203,0.3438517179023508,0.3487341772151899,6829,14007,1284,1606,0,3.0527517913251243e-30,13.7733499377335,442.0442092154421,11666,10454,0.6575205605471995,0.647174568205049,-11.473262265818365,-12.221704719574074,-377.1495059591983,,8,0,-624.6514895322143,-1043.5887106008126,-594.8606212520772,-678.8292356409097,-377.1495059591983,-1018.829526669463,-1070.265439009871,-1005.4428663179547
