,A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),"A|MomoRot US-sector §12 (N12/K5, headline)",A|MomoRot country-ETFs §17 (N12/K5),A|MomoRot crypto-sectors §17 (N12/K5),A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),A|ORB §10 same cell 2013-2017 (out-of-regime),A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),A|VRP naked SVXY §20 (thr 1.2),A|VRP naked SVXY §20 (thr 1.5),A|VRP §21-A fixed 10% sizing (thr 1.2),A|VRP §21-A fixed 20% sizing (thr 1.2),A|VRP §21-B vol-of-vol breaker +20% (thr 1.2),A|VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),B|ICT-SMC BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),B|ICT-SMC EURUSD in-regime 2018-2025,B|ICT-SMC EURUSD out-of-regime 2013-2017 (full 5yr),B|ICT-SMC SPX500 in-regime 2018-2025,"B|ICT-SMC SPX500 out-of-regime 2017 (1yr, not a full regime test)",B|ICT-SMC XAUUSD in-regime 2018-2025,"B|ICT-SMC XAUUSD out-of-regime 2017 (1yr, not a full regime test)",C|Bollinger BTCUSDT,C|Bollinger ETHUSDT,C|Bollinger EURUSD,C|Bollinger NAS100,C|Bollinger SPX500,C|Bollinger US30,C|Bollinger XAUUSD,C|Ichimoku BTCUSDT,C|Ichimoku ETHUSDT,C|Ichimoku EURUSD,C|Ichimoku NAS100,C|Ichimoku SPX500,C|Ichimoku US30,C|Ichimoku XAUUSD,C|MACD BTCUSDT,C|MACD ETHUSDT,C|MACD EURUSD,C|MACD NAS100,C|MACD SPX500,C|MACD US30,C|MACD XAUUSD,C|MACD-slow-n3 BTCUSDT,C|MACD-slow-n3 ETHUSDT,C|Pairs GLD-SLV N1.5,C|Pairs GLD-SLV N2.0,C|Pairs NAS100-US30 N1.5,C|Pairs NAS100-US30 N2.0,C|Turtle Sys1 BTCUSDT,C|Turtle Sys1 ETHUSDT,C|Turtle Sys1 EURUSD,C|Turtle Sys1 NAS100,C|Turtle Sys1 SPX500,C|Turtle Sys1 US30,C|Turtle Sys1 XAUUSD,C|Turtle Sys2 BTCUSDT,C|Turtle Sys2 ETHUSDT,C|Turtle Sys2 EURUSD,C|Turtle Sys2 NAS100,C|Turtle Sys2 SPX500,C|Turtle Sys2 US30,C|Turtle Sys2 XAUUSD,D|Credit-spread FILTERED 1pct (SPY),D|On-chain active-address surge H20 (BTCUSDT)
C|Ichimoku SPX500,3285,3285,3285,2161,2920,361,2830,287,3285,3285,3285,3285,3285,3285,2921,2920,361,2918,363,2921,361,2922,2922,3284,3285,3285,3285,3285,2922,2922,3284,3285,3285,3285,3285,2922,2922,3284,3285,3285,3285,3285,2922,2922,3285,3285,3285,3285,2922,2922,3284,3285,3285,3285,3285,2922,2922,3284,3285,3285,3285,3285,3285,2920
C|Ichimoku US30,4476,4476,4476,2161,2920,1531,2830,1448,4476,4476,4476,4476,4476,4476,2921,2920,1552,2918,363,2921,361,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,2922,2922,4476,4476,4476,4476,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,4476,2920
C|Ichimoku XAUUSD,3286,3286,3286,2161,2920,362,2830,288,3286,3286,3286,3286,3286,3286,2921,2920,362,2918,363,2921,361,2922,2922,3285,3286,3285,3286,3286,2922,2922,3285,3286,3285,3286,3286,2922,2922,3285,3286,3285,3286,3286,2922,2922,3286,3286,3286,3286,2922,2922,3285,3286,3285,3286,3286,2922,2922,3285,3286,3285,3286,3286,3286,2920
C|MACD BTCUSDT,3162,3162,3162,2404,2920,0,2830,0,3162,3162,3162,3162,3162,3162,2921,2920,0,2918,3,2921,0,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,3161,3161,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3089,3163
C|MACD ETHUSDT,3162,3162,3162,2404,2920,0,2830,0,3162,3162,3162,3162,3162,3162,2921,2920,0,2918,3,2921,0,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,3161,3161,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3089,3163
C|MACD EURUSD,4747,4747,4747,2160,2919,1531,2830,1448,4747,4747,4747,4747,4747,4747,2921,2920,1823,2917,363,2920,361,2921,2921,4747,4475,3284,4475,3285,2921,2921,4747,4475,3284,4475,3285,2921,2921,4747,4475,3284,4475,3285,2921,2921,4747,4747,4475,4475,2921,2921,4747,4475,3284,4475,3285,2921,2921,4747,4475,3284,4475,3285,4747,2919
C|MACD NAS100,4476,4476,4476,2161,2920,1531,2830,1448,4476,4476,4476,4476,4476,4476,2921,2920,1552,2918,363,2921,361,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,2922,2922,4476,4476,4476,4476,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,4476,2920
C|MACD SPX500,3285,3285,3285,2161,2920,361,2830,287,3285,3285,3285,3285,3285,3285,2921,2920,361,2918,363,2921,361,2922,2922,3284,3285,3285,3285,3285,2922,2922,3284,3285,3285,3285,3285,2922,2922,3284,3285,3285,3285,3285,2922,2922,3285,3285,3285,3285,2922,2922,3284,3285,3285,3285,3285,2922,2922,3284,3285,3285,3285,3285,3285,2920
C|MACD US30,4476,4476,4476,2161,2920,1531,2830,1448,4476,4476,4476,4476,4476,4476,2921,2920,1552,2918,363,2921,361,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,2922,2922,4476,4476,4476,4476,2922,2922,4475,4476,3285,4476,3286,2922,2922,4475,4476,3285,4476,3286,4476,2920
C|MACD XAUUSD,3286,3286,3286,2161,2920,362,2830,288,3286,3286,3286,3286,3286,3286,2921,2920,362,2918,363,2921,361,2922,2922,3285,3286,3285,3286,3286,2922,2922,3285,3286,3285,3286,3286,2922,2922,3285,3286,3285,3286,3286,2922,2922,3286,3286,3286,3286,2922,2922,3285,3286,3285,3286,3286,2922,2922,3285,3286,3285,3286,3286,3286,2920
C|MACD-slow-n3 BTCUSDT,3162,3162,3162,2404,2920,0,2830,0,3162,3162,3162,3162,3162,3162,2921,2920,0,2918,3,2921,0,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,3161,3161,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3089,3163
