instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,yr_2026
AAPL,D1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",0.9394588548008013,0.38515913353537373,49,43,PASS,29,14,1.543570433179153,1.518511249249542,0.39182570053396193,8.559865004613865,110.20327191352341,0.07793946424761555,0.31899817424028953,0.011294369092168736,0.30770380514812073,13.71692149233245,13.231263621369191,5.733060999890455,367.47833846354195,0.37209302325581395,0.37209302325581395,11,25,7,2148,0,1.133960569973221,0.020018621973929236,24,19,1.098784640128309,2.2444557999008983,0.6183560761152957,5.349593237976985,4.587352130111665,0.34670551969827335,9,7,3.2572816773025752,1.9788826890598994,0.4925919177292082,3.9419314059271877,-8.073426165070579,4.587352130111665,4.380399748983057,2.944651306630845,-0.27840108930466384
JPM,D1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.722056637945436,0.4362651894917857,153,79,PASS,59,20,1.2584553716922162,1.231309415248235,0.2796050490929216,3.7213950728946514,46.352672400578214,0.11551193221709753,0.11761413542844054,0.010916387070833105,0.10669774835760741,9.291516698846802,8.429122120250986,5.626494925765087,403.4093251508911,0.46835443037974683,0.46835443037974683,12,34,33,2130,0,1.0821455440298013,0.03708920187793427,43,36,0.7563214751050078,2.2319896934370598,-1.9639651651427485,5.495967350751596,9.177838516887352,1.0888249554289378,9,5,-1.9366041433950827,-3.06257391900228,-5.405352757776573,1.7941624262039697,2.588754447426307,4.280496121326264,9.177838516887352,2.064854311217504,-1.0724528826364754
JPM,D1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.722056637945436,0.4362651894917857,153,65,PASS,49,16,1.0886459321874657,1.0682482130795397,0.08601837562846985,2.2249948736858935,41.12670475418579,0.10256161563269565,0.04363753348343525,0.009671044129531355,0.03396648935390388,2.836439676423291,2.2078218080037524,6.189211070747973,485.46004655837584,0.4461538461538462,0.4461538461538462,19,31,15,2115,0,1.0183322373335788,0.030732860520094562,36,29,0.6652887250614679,1.9342565443586583,-3.00725174822514,4.863247837770574,7.497468102987784,3.3958664942107695,9,4,-3.014631329793941,-3.215652203832565,-3.8978192050261686,-0.11267793649617186,2.851289455028284,0.71079825426413,7.497468102987784,2.2266209240015513,-0.8375742531291499
JPM,D1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.722056637945436,0.4362651894917857,228,74,PASS,52,22,1.1443981855637106,1.1272840380660323,0.15320145663431195,5.546291690234842,69.60407229346633,0.0782769633514651,0.0795516959732729,0.008714637739619035,0.07083705823365388,5.8868255020221945,5.241942309290387,6.627710095613416,499.4024365209129,0.40540540540540543,0.40540540540540543,6,39,29,2113,0,1.0465571245692267,0.03502129673450071,43,31,1.0622172206975742,1.220999643019598,0.40224997078282915,1.371686671115218,6.217994476843947,1.1862004787469114,9,4,-2.256720143253262,-0.3327101288665255,-1.5834807742955732,6.217994476843947,-0.5327819094330655,0.6287470677506679,1.706778736763721,1.9684731538696798,-0.5743581700892024
JPM,D1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",0.722056637945436,0.4362651894917857,177,113,PASS,69,44,1.222627834515202,1.1920853656102985,0.29830874335949165,3.2175870742553787,25.404003139131213,0.11516960600459986,0.13068776348645367,0.016142012816430955,0.11454575067002269,14.767717273969264,12.943669825712565,3.6187336105264194,249.93698090038922,0.3893805309734513,0.39823008849557523,38,64,11,2129,0,1.125663400638694,0.05307656176608737,60,53,0.790183757747551,1.8232986570803715,-1.7377261690853942,4.429779423420441,7.778545386543919,0.6009536314880236,9,5,-2.7622744988841297,-1.1364221941236075,-2.7903740320039843,2.771536545881383,-4.720795259657882,5.85453103380889,7.778545386543919,5.212824245183353,2.7360985989646247
JPM,D1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.722056637945436,0.4362651894917857,117,77,PASS,56,21,0.8970206703428641,0.874419856223213,-0.1945957173728878,3.282744432349681,37.26856484801018,0.15331849433929481,-0.06993005441372649,0.016754305527576823,-0.08668435994130332,-5.38461418985694,-6.674695715480355,3.6844560611502573,231.25572579167755,0.3116883116883117,0.3116883116883117,23,52,2,2045,0,0.9287155873329761,0.03765281173594132,40,37,0.6302710305154048,1.1848046142471784,-3.429476163965279,1.2588104075929496,2.899265838571138,,9,2,-0.4095166548462825,-0.18028527968051655,-3.0464177337657956,-1.12422890772568,-6.238888457769147,-0.1609643612349163,-0.1702680519699702,1.756607892940814,2.899265838571138
JPM,D1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.722056637945436,0.4362651894917857,177,105,PASS,66,39,1.10343733696136,1.0788515336338174,0.12454659904503274,2.0056568603893457,24.447020055690068,0.08325249825231139,0.051238980901748096,0.011684220037135495,0.039554760864612605,5.38009299468355,4.153249890784323,4.896076585585604,338.8736853747731,0.4380952380952381,0.45714285714285713,34,48,23,2130,0,1.035597517169876,0.04929577464788732,55,50,0.7868625593546643,1.491085627011704,-1.7604583821024107,2.9397330583130055,4.647837891655562,1.1190845756641525,9,5,-2.5209381084560016,-1.0440407650483363,-1.17306633290953,1.453012904039185,-3.2865707726788984,4.647837891655562,1.8382970063868955,2.4324833128680385,1.8062347549274087
JPM,D1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",0.722056637945436,0.4362651894917857,75,65,PASS,13,52,0.7248077901552223,0.7023560668102214,-0.507541213493806,1.2278507477221683,30.6574975922167,0.16885451173949695,-0.18399688914563705,0.018868725831349242,-0.20286561497698632,-11.95979779446641,-13.18626497350411,3.258737002514664,238.88002061755762,0.3230769230769231,0.3230769230769231,21,43,1,1870,0,0.872488525293375,0.034759358288770054,36,29,0.6405697529746772,0.7856704984808327,-3.4534794803468434,-1.8421136357030234,1.2814742667172598,,8,1,-0.5921049057216459,-3.7534582310079894,-4.099439847902435,-0.09407857425906174,-0.6039449164315387,-5.224236521368615,1.2814742667172598,-0.10047624353008411,
JPM,D1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",0.722056637945436,0.4362651894917857,29,28,PASS,5,23,0.6431844625572899,0.6167782313372109,-0.44911017037329476,-2.2208888260558517,69.00125148546876,0.06080497461089898,-0.2029053581504834,0.02032958548311336,-0.22323494363359675,-5.681350028213536,-6.250578421740709,2.905602853196555,193.3221564619076,0.39285714285714285,0.39285714285714285,10,15,3,1868,0,0.9381784291649623,0.014989293361884369,17,11,0.7565694272930492,0.4396919936738513,-2.1039701253835696,-6.18358428093088,0.9678418043054741,,8,2,-1.0371337155719922,-1.1727727882951395,0.9678418043054741,-1.1589281718911517,0.18208813455749995,-2.919130604436626,-1.0351256548267513,-0.0774174255820218,
JPM,D1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",0.722056637945436,0.4362651894917857,235,115,PASS,29,86,0.8975233766382961,0.8774058851932637,-0.224213799953463,1.5125154897497821,22.374525955009208,0.18347441292274333,-0.05542562827074923,0.011763010766823023,-0.06718863903757225,-6.373947251136162,-7.726693489320808,5.044432959031482,351.4399716054851,0.3826086956521739,0.3826086956521739,33,57,25,2153,0,0.9192488199939032,0.053413841151881095,63,52,1.0416232364937832,0.7052677777854051,0.3019662291533592,-2.5624650616703653,6.101571657855581,,9,3,6.101571657855581,0.901239964373852,-3.2200231239264054,0.14148866403820426,-2.5817024822277106,-0.5713037133778318,-4.390376558176081,-1.847022900900285,-2.260564996980133
