label,N,k_atr,R,H,is_baseline,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share,n_pos_years,n_years
N20_katr2.0_R1.5,20,2.0,1.5,24,False,449,PASS,1.2640367753869435,1.2180278800728834,0.3867701016907579,0.19858083052679748,0.49888641425389757,0.6018278953515767,5,8
N20_katr2.0_R2.0,20,2.0,2.0,24,False,429,PASS,1.2169395255078135,1.1739682715253577,0.0049295708677722025,0.2296824955493652,0.4731934731934732,15.99351954162064,4,8
N30_katr1.0_R1.0,30,1.0,1.0,24,False,497,PASS,1.1368329795494916,1.0749760220623596,0.23031485015854225,0.2517028148864308,0.5331991951710262,0.8009671689296194,3,8
N30_katr1.0_R1.5,30,1.0,1.5,24,False,450,PASS,1.196187114804119,1.1398803527606005,0.4223259592264487,0.22297416048993696,0.4666666666666667,0.6131736774684619,4,8
N30_katr1.0_R2.0,30,1.0,2.0,24,False,423,PASS,1.1269266889884528,1.0768328925728061,0.006437601649713992,0.3849503917623556,0.42080378250591016,-11.823183744228864,4,8
N30_katr1.5_R1.0,30,1.5,1.0,24,False,449,PASS,1.1762378614658324,1.1259085357722451,0.4573409155954399,0.1550892619835455,0.5300668151447662,0.5554160898527618,5,8
N30_katr1.5_R1.5,30,1.5,1.5,24,False,403,PASS,1.178040108414859,1.1320571432955702,0.2358616211037704,0.21100883248002014,0.4739454094292804,0.8176185811168879,5,8
N30_katr1.5_R2.0,30,1.5,2.0,24,False,386,PASS,1.228684830033465,1.1819031021147084,0.30000189238987385,0.18684754677810775,0.46113989637305697,0.7032358325967546,6,8
N30_katr2.0_R1.0,30,2.0,1.0,24,False,411,PASS,1.1897604918756157,1.1455121311408536,0.3621192017662772,0.18088387856960975,0.5279805352798054,0.7115634857597505,5,8
N30_katr2.0_R1.5,30,2.0,1.5,24,False,378,PASS,1.2655596473486468,1.2205234024901166,0.3458295542733686,0.18011874687543503,0.4973544973544973,0.4797729479095627,6,8
N30_katr2.0_R2.0,30,2.0,2.0,24,False,355,PASS,1.200784221230929,1.158692524985255,-0.16841470484886228,0.24925884069662801,0.4788732394366197,-1.241303518106813,4,8
EXT_N5_katr2.0_R1.0_H24,5,2.0,1.0,24,False,721,PASS,1.1177716746536133,1.0757522249578337,0.24905712782579595,0.23298304297061678,0.5228848821081831,1.214461074262326,4,8
EXT_N5_katr2.5_R1.0_H24,5,2.5,1.0,24,False,641,PASS,1.140118885908458,1.1005725996530362,0.3746034113400178,0.13944923255441913,0.5273010920436817,0.5948887388187686,5,8
EXT_N5_katr2.0_R0.75_H24,5,2.0,0.75,24,False,807,PASS,1.0481778545453706,1.0051147351494303,0.1645624344812778,0.22225527147110652,0.5526641883519207,1.0833535091551116,4,8
EXT_N10_katr2.5_R1.0_H24,10,2.5,1.0,24,False,575,PASS,1.215776144934767,1.1726452454264618,0.705693823111989,0.10251583885676409,0.5252173913043479,0.3589824250568641,6,8
EXT_N10_katr3.0_R1.0_H24,10,3.0,1.0,24,False,533,PASS,1.2817091155974942,1.2374419658299651,0.7839033109721553,0.07099559992632942,0.5403377110694184,0.4010194975588038,6,8
EXT_N10_katr2.0_R0.75_H24,10,2.0,0.75,24,False,710,PASS,1.178815236411274,1.1296081656998196,0.6492484604420387,0.13562799437070477,0.5732394366197183,0.4051935132359235,6,8
EXT_N10_katr2.0_R0.5_H24,10,2.0,0.5,24,False,827,PASS,1.1887817297882892,1.1298582401915789,0.7164406772238491,0.07802642542778128,0.6638452237001209,0.4297268463123904,7,8
EXT_N15_katr2.0_R1.0_H24,15,2.0,1.0,24,False,568,PASS,1.158990896147483,1.1155520291477292,0.3582352639159619,0.1404672360377655,0.522887323943662,0.49983061147046354,5,8
EXT_N10_katr3.0_R0.75_H24,10,3.0,0.75,24,False,580,PASS,1.2310255557615433,1.186785431712359,0.837474752444597,0.07226180637285604,0.5586206896551724,0.40735545814039475,6,8
EXT_N10_katr3.0_R0.5_H24,10,3.0,0.5,24,False,679,PASS,1.1733127907359386,1.1254104114313708,0.9031107939716095,0.0652143450915769,0.6156111929307806,0.30817826879932725,8,8
EXT_N10_katr3.5_R1.0_H24,10,3.5,1.0,24,False,506,PASS,1.2305626311884021,1.1902401710960808,0.5717202409187232,0.07954374210832992,0.5434782608695652,0.5038382628046064,6,8
EXT_N10_katr3.5_R0.5_H24,10,3.5,0.5,24,False,613,PASS,1.089002788868316,1.0479454899971832,0.5183955207829215,0.06298463031821391,0.5905383360522023,0.5095610761076043,7,8
EXT_N10_katr4.0_R1.0_H24,10,4.0,1.0,24,False,482,PASS,1.2905367501490619,1.2481190026458537,0.7323405937378923,0.05308179529405244,0.5435684647302904,0.3822387622148777,5,8
EXT_N10_katr4.0_R0.5_H24,10,4.0,0.5,24,False,574,PASS,1.2095179433733017,1.1648566215350191,0.9354446643587894,0.053658800660060096,0.5888501742160279,0.31331369137417875,7,8
EXT_N10_katr2.5_R0.5_H24,10,2.5,0.5,24,False,734,PASS,1.1794252940370016,1.1271938211672434,0.890514834023641,0.0667661429575475,0.6335149863760218,0.2577830518319102,7,8
