instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
JPM,D1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.6595759456366805,0.39662632636870304,171,105,PASS,64,41,1.1798766019436342,1.153476643048808,0.24472185634520022,1.8210169166936891,22.60004111148065,0.08724705169377632,0.08354928630814515,0.011389312742540132,0.07215997356560501,8.77267506235524,7.576797224388526,1.4014092651887182,354.6595587551095,0.47619047619047616,0.47619047619047616,29,45,31,1956,0,1.0720938285807864,0.05368098159509203,82,23,1.0883976156942445,1.4560142307906487,0.6315664080640352,2.6091858280340756,6.818334137872917,0.8998966101304342,8,5,-1.2243443388549304,-3.636215362098861,6.818334137872917,4.552188400070966,-5.184778904016986,2.26625207102763,1.6654824013923135,2.319878818995477
JPM,D1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",0.6595759456366805,0.39662632636870304,56,50,PASS,17,33,1.1057866483769554,1.0705979922977544,0.08446172623084557,2.474597969900541,43.32244802346369,0.061426221084853634,0.057913856699089904,0.018515169291363105,0.03939868740772682,2.8956928349544953,1.969934370386341,0.8698352899754056,226.04274471033506,0.44,0.44,19,27,4,1928,0,1.0162882732764207,0.025933609958506226,37,13,1.4391522261992975,0.4326906938665449,2.759905362730912,-6.467848947126256,3.2972236332091707,1.6737733412725448,8,5,1.9553373103753857,0.9555845021285154,-1.6272782598083624,0.9855100820308744,3.2972236332091707,2.200293332422393,-3.604280229953788,-2.1924560000178483
JPM,D1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",0.6595759456366805,0.39662632636870304,19,19,PASS,7,12,0.38668870385811194,0.37263575569627644,-0.7782571426315743,-4.756731725773243,88.46049439239675,0.08399352072036581,-0.3895811757649754,0.016281378727474986,-0.4058625544924504,-7.402042339534533,-7.711388535356558,1.0865488607476692,244.23657578114953,0.3157894736842105,0.3157894736842105,4,11,4,1515,0,0.9250248706391767,0.012541254125412541,11,8,0.6071979217664628,0.15401226392505973,-3.624736878901056,-14.799262474164909,1.5242272714498162,,6,3,,0.9845335773863382,-4.947460635337453,,1.5242272714498162,0.10949717415803233,-3.293333908694195,-2.0888520143190963
JPM,D1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",0.6595759456366805,0.39662632636870304,206,100,PASS,24,76,0.7555534498401955,0.73670142126981,-0.5108133151056143,1.0088437757674948,23.523015252060578,0.16456482931924482,-0.1404736741926151,0.013111340049215478,-0.15358501424183058,-14.047367419261512,-15.358501424183059,1.217610940400645,326.30109923873545,0.36,0.36,23,53,24,1981,0,0.8527149356282927,0.05047955577990914,74,26,0.7768339351169187,0.6273814181141858,-1.8819958554494898,-3.459383464040561,4.720257290352652,,8,1,-2.9897207505580368,-1.6407309209467198,-6.787807445897857,-2.457675856670454,4.720257290352652,-0.3662501354185538,-3.3398174508994867,-2.496756154144601
JPM,D1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.6595759456366805,0.39662632636870304,165,63,PASS,34,29,1.4293250588243795,1.405411619090541,0.44662864019401816,4.412737941272207,43.43877199822758,0.06061364418110597,0.23323257718441648,0.01058123264462239,0.22265134453979413,14.693652362618238,14.02703470600703,1.611449584492469,375.65754589125817,0.42857142857142855,0.42857142857142855,22,34,7,1939,0,1.1432868667122746,0.032490974729241874,42,21,1.4270943178792759,1.3603190230465287,2.6083883459007464,2.1815786517845432,7.253424838842144,0.5171032218046692,8,5,-0.06854543267717728,-2.1100870186652,2.957337523439138,0.18906260185915258,7.253424838842144,1.757712723468002,6.289546023559462,-2.2414165538184934
JPM,D1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.6595759456366805,0.39662632636870304,107,40,PASS,12,28,0.887139781733117,0.873470883416206,-0.14649462810553862,4.319260830039627,69.77476477617886,0.12435923397453834,-0.07618064733014596,0.010121281395662488,-0.08630192872580844,-3.0472258932058383,-3.4520771490323376,1.5044445325402194,400.45429362851377,0.325,0.325,11,27,2,1906,0,0.9625493688734373,0.02098635886673662,31,9,0.8698088547210848,0.8862796663233501,-1.0249246461557033,-0.8618346842487933,5.964181396057125,,8,3,2.505642590905653,-0.023682716836263662,0.96629206105518,-2.0529434050160082,-10.12174849811589,5.964181396057125,-0.6520044232995619,-0.037814153782573356
JPM,D1,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.6595759456366805,0.39662632636870304,232,117,PASS,58,59,0.9562739710117792,0.9324914545619128,-0.12873719406145412,1.4938786122252141,18.19823018197721,0.11560452706685079,-0.024496787663161917,0.013915392141013165,-0.03841217980417507,-2.8661241565899442,-4.4942250370884835,1.1297158329119377,287.6268132250803,0.38461538461538464,0.38461538461538464,36,63,18,1976,0,0.9486747228448926,0.05921052631578947,84,33,1.023567330078255,0.7314962390578267,0.17470692415031913,-2.3635325616813403,2.6760263286046726,,8,3,1.7285976578815008,2.6760263286046726,-4.716227085635591,-0.5246115818484602,2.4500948763163075,-0.5341789673353743,-2.201720103177733,-3.372206161893806
JPM,D1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.6595759456366805,0.39662632636870304,37,32,PASS,24,8,1.5787344240060808,1.5534660034186487,0.42144022709158685,6.302271580171035,84.63536895839272,0.03988532025172562,0.2877186814664302,0.00999906611591381,0.2777196153505164,9.206997806925767,8.887027691216526,1.4116161377669396,432.3001421087764,0.46875,0.46875,11,15,6,1789,0,1.0895474029711174,0.017887087758524316,25,7,1.4242972491818588,2.108204881114401,2.4962338669474287,5.3048395748121555,5.074204320000112,0.5709675378884201,8,6,-5.040332899797693,2.05268498134872,-0.024420809989941672,2.9676421486606754,5.074204320000112,0.4964267749402995,0.40137117590218696,2.9594520001521674
JPM,D1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.6595759456366805,0.39662632636870304,28,28,PASS,15,13,1.185237357207389,1.1684622662779005,0.14349878616665124,5.836586963255415,94.87856216666894,0.04940390880355836,0.11246553830448615,0.009244400971873649,0.10322113733261247,3.149035072525612,2.890191845313149,1.6245628656970368,461.46231624446744,0.39285714285714285,0.39285714285714285,9,17,2,1849,0,1.0265022101611008,0.015143320713899405,21,7,1.1361414491626431,1.2731731978264489,0.9340447518541389,1.6896524021859893,2.9819112691634873,1.0317347182330037,8,6,-3.094834415208818,1.9905853543251444,2.9819112691634873,0.9778865629659363,-2.0254605380100688,0.9546939631497373,0.13710882308755856,0.9683008258401726
JPM,D1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",0.6595759456366805,0.39662632636870304,50,43,PASS,26,17,1.40342097098209,1.3758911478422537,0.3218787176550334,7.9574644088574376,98.32300726599225,0.06014966127390759,0.24837793636933211,0.013689542814721848,0.23468839355461033,10.680251263881281,10.091600922848244,1.0447848877348314,306.9096185229722,0.3488372093023256,0.3488372093023256,11,26,6,1894,0,1.0990729125925744,0.02270327349524815,35,8,1.040544757368931,3.9905997412613488,0.2610613183263519,9.620419478543885,6.926503966546339,0.6863632459805408,8,4,-3.0754879859014332,2.694260339511963,-2.017478761895826,6.926503966546339,-0.21660215842849154,-3.346420804470971,5.200191370949341,3.9266349565373213
