section,strategy,config,window,win_rate,avg_win_R,avg_loss_R,net_pf,net_sharpe,net_R_mean,n_trades,kill_code
10,ORB @ US cash open (OR-range stop),NAS100 OR15 1R,in 2018-25,52.475247524752476,0.8684102014569396,-1.006008496259424,0.9531426434342652,-0.3321684519438166,-0.0224026449825203,1616,OOS-INV + CONC + B&H + DSR
10.2,ORB moderate 25bps-stop variant,US30 OR15 1R [moderate stop],in 2018-25,52.40259740259741,0.8574522728001589,-1.0743269072742425,0.8787049296280434,-0.9010198882023888,-0.0620244408326568,1540,WORSENED-IN + OOS-INV + CONC + B&H + DSR
2,Index trend/macross single-instrument config,SPX500 H8 macross v0,in 2018-25,52.12765957446809,1.4470355900792071,-0.9489061564864325,1.6605024270243045,0.7147156390831839,0.300042200765869,94,OOS-INV(family) + DSR
10.2,ORB moderate 25bps-stop variant,NAS100 OR15 1R [moderate stop],in 2018-25,52.103960396039604,0.8619343559303231,-1.1238038267745767,0.8343625751765931,-1.271901589117256,-0.0891555904889792,1616,WORSENED-IN + OOS-INV + CONC + B&H + DSR
14,"Individual US stocks, 5-family sweep",AAPL D1 trend v0,OOS 2010-17,52.054794520547944,1.284814457913665,-0.8834122435524248,1.5790378972332424,0.6055410864819742,0.2452537106354027,73,DSR + B&H
10,ORB @ US cash open (OR-range stop),US30 OR15 1R,in 2018-25,52.01298701298701,0.8398533611923931,-1.0034216404468044,0.9072105233830888,-0.6687066099378074,-0.0446792532305724,1540,OOS-INV + CONC + B&H + DSR
10.4,ORB trend-filtered variant (daily 50-SMA gate),US30 OR30 1R,in 2018-25,51.9893899204244,0.7748123043350283,-0.8981881656743304,0.9341286167501118,-0.3224464470082249,-0.028405427950632,754,OOS-INV + CONC + DSR
10.2,ORB moderate 25bps-stop variant,NAS100 OR30 1R [moderate stop],in 2018-25,51.83343691733996,0.8633384259234925,-1.1036160648977746,0.8418358289178272,-1.2033149273615489,-0.0840759497051477,1609,WORSENED-IN + OOS-INV + CONC + B&H + DSR
14,"Individual US stocks, 5-family sweep",JNJ D1 trend v1,OOS 2010-17,51.61290322580645,1.1959890100914494,-0.9241692487736871,1.3803982468114069,0.4198033296554462,0.1701059816083188,62,DSR + B&H
10,ORB @ US cash open (OR-range stop),US30 OR30 1R,in 2018-25,51.43790849673202,0.7797767996522409,-0.8935794072278547,0.9243215457717998,-0.5228628598118906,-0.0328399727084853,1530,OOS-INV + CONC + B&H + DSR
6,Index trend/macross single-instrument config,NAS100 H8 macross v0,OOS 2013-17,51.02040816326531,1.6408389892309048,-0.9883209901551152,1.7294050186879086,0.888948122129185,0.3530871625928543,49,OOS-INV(family) + DSR
14,"Individual US stocks, 5-family sweep",AAPL D1 trend v1,in 2018-25,50.877192982456144,1.2482939499932197,-0.9535314798561085,1.3558816925203054,0.3786216859611377,0.1666954932251287,57,DSR + B&H
10.2,ORB moderate 25bps-stop variant,US30 OR30 1R [moderate stop],in 2018-25,50.849673202614376,0.8540452809644212,-1.0520902174800248,0.8398266874780982,-1.2079481065585969,-0.0828265457219994,1530,WORSENED-IN + OOS-INV + CONC + B&H + DSR
14,"Individual US stocks, 5-family sweep",AAPL D1 trend v1,OOS 2010-17,50.847457627118644,1.2473654235194247,-0.946738653142511,1.3629717346463943,0.3998945101628995,0.1689074875330495,59,DSR + B&H
14,"Individual US stocks, 5-family sweep",CAT D1 trend v1,OOS 2010-17,50.81967213114754,1.3887936589260235,-0.9409457701990389,1.52515354905805,0.5625338386438228,0.2430201691923863,61,DSR + B&H
