entry_time,exit_time,side,reason,entry_mid,exit_mid,risk_price,gross_R,cost_R,net_R,ret_frac,instrument,or_minutes,target
2021-10-21 14:08:00+00:00,2021-10-21 19:59:00+00:00,long,time,15407.244999999999,15486.904999999999,59.83099999999831,1.331416824054455,0.08545240051144296,1.245964423543012,0.01245964423543012,NAS100,30,close
2021-10-22 14:29:00+00:00,2021-10-22 15:15:00+00:00,long,stop,15470.31,15397.875,72.43499999999949,-1.0,0.07037375371022345,-1.0703737537102234,-0.010703737537102234,NAS100,30,close
2021-10-25 15:53:00+00:00,2021-10-25 19:59:00+00:00,long,time,15446.835,15514.314999999999,109.6299999999992,0.6155249475508534,0.019137501368238764,0.5963874461826146,0.005963874461826147,NAS100,30,close
2021-10-26 14:01:00+00:00,2021-10-26 16:00:00+00:00,long,stop,15670.494999999999,15592.801,77.6939999999995,-1.0,0.06492864732154391,-1.064928647321544,-0.01064928647321544,NAS100,30,close
2021-10-27 14:00:00+00:00,2021-10-27 19:59:00+00:00,long,time,15656.725,15596.705,86.02900000000045,-0.6976717153518014,0.05941403916121276,-0.7570857545130142,-0.007570857545130142,NAS100,30,close
2021-10-28 14:08:00+00:00,2021-10-28 19:59:00+00:00,long,time,15704.215,15774.125,57.318999999999505,1.2196653814616525,0.08884472033706177,1.1308206611245908,0.011308206611245908,NAS100,30,close
2021-10-29 14:08:00+00:00,2021-10-29 19:59:00+00:00,long,time,15712.515,15852.975,83.18399999999929,1.688545874206604,0.06220476323571894,1.626341110970885,0.01626341110970885,NAS100,30,close
2021-11-01 14:00:00+00:00,2021-11-01 17:03:00+00:00,short,stop,15809.605,15879.735,70.13000000000102,-1.0,0.07353853094253422,-1.0735385309425343,-0.010735385309425343,NAS100,30,close
2021-11-02 15:44:00+00:00,2021-11-02 19:59:00+00:00,long,time,15980.999,15974.625,102.73349999999846,-0.06204402653467361,0.024244914609159014,-0.08628894114383262,-0.0008628894114383263,NAS100,30,close
2021-11-04 14:02:00+00:00,2021-11-04 19:59:00+00:00,long,time,16262.539,16347.380000000001,94.98400000000038,0.8932135938684411,0.05625891376442326,0.8369546801040179,0.008369546801040179,NAS100,30,close
2021-11-05 16:51:00+00:00,2021-11-05 19:59:00+00:00,short,time,16386.004999999997,16359.81,73.33499999999913,0.3571964273538993,0.034595899979546325,0.32260052737435296,0.0032260052737435297,NAS100,30,close
2021-11-08 15:40:00+00:00,2021-11-08 20:59:00+00:00,short,time,16326.119999999999,16338.585,76.39500000000044,-0.16316512860789417,0.032242919039203954,-0.19540804764709813,-0.001954080476470981,NAS100,30,close
