instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,regimeA_trades,regimeB_trades,regimeA_pf,regimeB_pf,regimeA_sharpe,regimeB_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,yr_2026,dsr,dsr_cumulative_pool,oos_holds,gross_edge,not_concentrated,regime_holds,beats_bh,SURVIVOR
BTCUSDT,M15,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.532752356675382,0.8120199929707641,3713,3241,PASS,1630,1611,1.094413385186792,0.604493263516443,-3.6390542452433836,-0.8570409850785893,1.9044938898779042,0.9999943474847267,0.05926137140866613,0.41345612895088724,-0.3541947575422211,192.06610473548693,-1147.9452091943385,210.56999999999243,68.67105872877995,0.35297747608762725,0.36099969145325517,1087,2020,134,3164,0,6.768410169967674e-06,1.0243362831858407,1846,1395,0.7094678989309868,0.4896302060484037,-3.148988415312911,-6.201766801973984,1475,1766,0.7247243119453064,0.5196328199936201,-3.00425010849517,-5.665248388888507,-22.301473775201273,,9,0,-63.09187853272024,-136.38781860000728,-108.81116762506824,-22.301473775201273,-110.00271224479482,-288.6042773350482,-140.5375619986178,-162.4449629717988,-115.76335611108199,1.2813289299300003e-230,0.0,False,True,False,False,False,False
BTCUSDT,M15,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",0.532752356675382,0.8120199929707641,7484,6268,PASS,3170,3098,1.0309105825096312,0.508240293926497,-5.994827667448818,-1.0397359388143075,3.7950474470560094,0.9999999999999998,0.021644758899548817,0.5726657193071608,-0.5510209604076121,135.669348782372,-3453.799379834912,143.7423214285718,49.232279845282406,0.27074026802807916,0.28637523931078496,1377,4351,540,3164,0,2.0771129776925318e-16,1.9810366624525917,3557,2711,0.5703649250664147,0.44170961185593555,-5.628486104551363,-7.476933216910372,2802,3466,0.5947514477353334,0.4504394005940996,-5.214083373478967,-7.417505277332273,-194.78683901215317,,9,0,-263.2996098838673,-307.2943744840042,-374.60014736904833,-194.78683901215317,-420.4269477648604,-830.7927586082053,-315.42049967234874,-435.79429818548243,-311.383904854942,0.0,0.0,False,True,False,False,False,False
BTCUSDT,H1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.532752356675382,0.8120199929707641,6965,2790,PASS,1455,1335,1.0347155412984017,0.7244033796929271,-2.1386908982850015,0.3157110878100906,0.24083671567611864,0.9947119555484227,0.017996538057128746,0.19486659206405077,-0.17687005400692202,50.210341179389204,-493.46745067931244,437.803392857144,147.50589387273962,0.3767025089605735,0.4068100358422939,597,1361,832,3164,0,0.005795582279295104,0.881795195954488,1591,1199,0.7847768053067877,0.6546944404193416,-1.8773494621248419,-3.346611126068099,1268,1522,0.7855690249125389,0.6791483659640037,-1.8471520376632782,-3.0735716683552665,-23.322265319165847,,9,0,-30.62498782703505,-23.322265319165847,-44.58172346234835,-64.74347051951995,-43.23881856608225,-101.28574499497402,-43.5992467447862,-79.7731538000697,-62.298039445331085,9.260755300977072e-128,0.0,False,True,False,False,False,False
BTCUSDT,H1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.532752356675382,0.8120199929707641,6965,2169,PASS,1118,1051,1.0019413216789712,0.7489660098373957,-1.7902831832568546,0.1466075316520066,0.14604669296012895,0.9743823186835806,0.0010398202187590572,0.1591270052612368,-0.1580871850424777,2.2553700544883952,-342.89110435713417,546.8967857142852,172.78523204667988,0.41124942369755646,0.4186260949746427,717,1116,336,3164,0,0.027959196107143338,0.6855246523388117,1231,938,0.8008437087425949,0.6865540485929073,-1.767797152128613,-3.0938679621232126,982,1187,0.8220956642503965,0.6932270361602368,-1.536861233698022,-3.0321649067960377,-7.9136388461159966,,9,0,-19.609791276156557,-7.9136388461159966,-23.469315128153138,-54.111917802409955,-43.44737281939777,-68.75646750683276,-27.603884594983196,-55.43862393857119,-42.54009244451367,9.504722813025183e-119,0.0,False,True,False,False,False,False
BTCUSDT,H1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.532752356675382,0.8120199929707641,11045,2155,PASS,1108,1047,1.116119267601974,0.8816914300033822,-0.7008680225381277,1.0935224108671564,1.765719088022923,0.8755712598042592,0.06583251923234214,0.14408574907891497,-0.07825322984657283,141.8690789456973,-168.63571031936445,605.3321428571435,183.496922749108,0.3619489559164733,0.38097447795823663,314,1169,672,3163,0,0.1472464805727843,0.6813152070818843,1210,945,0.9668924558136563,0.7848739143823568,-0.24277056302133598,-1.7582845113313617,955,1200,1.0034998129759989,0.7959338401792605,0.02489465426531744,-1.670410877423455,18.4841745098241,,9,2,-16.780775502899044,-2.7937137201378905,18.4841745098241,3.151393464385438,-27.162517391015143,-46.474904117966695,-6.059205880549828,-55.17369669766884,-35.826464983336564,2.1675497343955604e-81,0.0,False,True,False,False,False,False
BTCUSDT,H1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",0.532752356675382,0.8120199929707641,4517,3233,PASS,1680,1553,1.025031735625547,0.7074938166378238,-2.554897786985379,0.3409782391105906,1.3766597936315756,0.999388965582942,0.01461212250619994,0.22848913432702375,-0.2138770118208238,47.24099206254441,-691.4643792167234,416.5092857142881,123.20633902664322,0.3652953912774513,0.37921435199505105,852,1828,553,3164,0,0.0007359834719896179,1.0218078381795197,1804,1429,0.7532442533657902,0.6563684163707634,-2.4475422040057,-3.6038797446634736,1438,1795,0.7737678545419343,0.6604707719127546,-2.232169368477396,-3.53398530343918,-40.38172672676842,,9,0,-40.38172672676842,-60.89243679082124,-78.0773114763294,-42.61178482749295,-85.87549253155821,-100.93977074641974,-65.37862831795111,-154.47065878715128,-62.83656901223109,4.432610020495162e-140,0.0,False,True,False,False,False,False
BTCUSDT,H1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.532752356675382,0.8120199929707641,2646,1826,PASS,978,848,1.0367345983402942,0.7665770771768917,-1.5508449548484562,0.7343693501631653,2.4580575702497063,0.9702035096170755,0.022710021640073425,0.19669765301433192,-0.1739876313742585,41.468499514774074,-317.701414889396,477.66857142857316,132.19081764214832,0.359802847754655,0.3647316538882804,548,1115,163,3156,0,0.0352374347362586,0.5785804816223067,1027,799,0.8130530261399322,0.7126677236671157,-1.750388284447781,-2.8774026487852495,827,999,0.8297264193340476,0.7193087753617019,-1.5883057828284344,-2.7813508340969118,6.07897862164266,,9,1,6.07897862164266,-21.04404161568342,-13.670216465386003,-70.57448961365579,-37.43344775152868,-36.826777239825454,-32.61549181401317,-73.7682590666998,-37.84766994424634,2.6803002657936048e-104,0.0,False,True,False,False,False,False
BTCUSDT,H1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.532752356675382,0.8120199929707641,4517,3106,PASS,1619,1487,1.0046806008220655,0.7261842710476533,-2.314504236711455,0.11680242662147841,1.0389710880349519,0.9962629489313524,0.002374581081490129,0.16847920631008284,-0.16610462522859276,7.375448839108341,-515.9209659600091,556.3389285714275,164.3578190009104,0.41435930457179654,0.4307791371538957,926,1478,702,3164,0,0.004692667827703634,0.9816687737041719,1734,1372,0.7689405920886042,0.6778199057347958,-2.2266903889970897,-3.2920390804004347,1381,1725,0.7846803342465924,0.683871563817696,-2.0652536092001643,-3.2042051730357257,-20.813597586058684,,9,0,-20.813597586058684,-45.76897047413711,-53.72503199916867,-49.979197233663925,-60.79032571995304,-61.132253303005214,-66.78333926619518,-110.50574232705618,-46.422508050770986,1.1239267699223573e-136,0.0,False,True,False,False,False,False
BTCUSDT,H1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",0.532752356675382,0.8120199929707641,1622,1318,PASS,588,730,0.7115159418605037,0.48856660748632347,-3.196009989462622,-1.2353876993342687,4.49829700478685,0.9943168788150679,-0.1786135065698214,0.20589277814626897,-0.38450628471609033,-235.41260165902457,-506.77928325580706,394.94071428571624,123.15060556093685,0.34446130500758726,0.3550834597875569,354,805,159,3162,0,0.005667406983954381,0.4168247944339026,731,587,0.4260315605197235,0.571264869052859,-6.861611925494877,-4.553599560289106,569,749,0.4181314975192607,0.5444166216096832,-6.906522939238933,-4.984748862988117,-39.06574011776992,,9,0,-80.0289739355014,-61.337993233870435,-68.77068325879337,-44.8538550681552,-68.8615017592279,-39.06574011776992,-53.85971836572387,-48.3521733165629,-41.64864420020209,1.2014196255613908e-216,0.0,False,False,False,False,False,False
BTCUSDT,H1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",0.532752356675382,0.8120199929707641,683,598,PASS,240,358,0.5798659712248039,0.34701530893816784,-3.0367418473521157,-2.8408090372222596,12.75773592725973,0.9229792237309484,-0.22370934104223156,0.20185375219657795,-0.4255630932388095,-133.77818594325447,-254.48672975680807,394.656071428577,124.59263215182554,0.35451505016722407,0.391304347826087,166,304,128,3111,0,0.07618240991177119,0.19222115075538412,316,282,0.25485056974135717,0.4693074908741087,-10.604736917479453,-6.128255657117945,237,361,0.23587713213873945,0.42919662031849803,-10.842243430435813,-6.8983979753779066,-14.828299728010258,,9,0,-31.86654266361219,-27.24258950443072,-44.14495736493938,-23.34272232180153,-39.004640812329406,-25.90270406921691,-25.83061110878154,-22.32366218368615,-14.828299728010258,4.334563709618437e-282,0.0,False,False,False,False,False,False
BTCUSDT,H1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",0.532752356675382,0.8120199929707641,6347,2542,PASS,1182,1360,0.8959244874850599,0.6529576741875831,-2.5928528741645334,-0.7752158836848037,1.7977064243592498,0.9962481215441595,-0.053643517469126566,0.1574111027827982,-0.21105462025192473,-136.36182140651974,-536.5008446803927,567.8832142857145,166.78749826057853,0.4110936270653029,0.4358772619984264,632,1265,645,3163,0,0.003920227016783061,0.8036674043629466,1430,1112,0.685150343658107,0.6149914298947746,-2.9982314995950348,-3.6950369838243855,1144,1398,0.6643557717900431,0.644229577585901,-3.2000696143411598,-3.4039938213234624,-26.926374606246767,,9,0,-56.11749697390106,-57.474269764146676,-84.50388619150603,-26.926374606246767,-38.372028359417214,-49.6010334800401,-101.79548471371938,-73.51242724435521,-48.19784334706032,5.093458049619819e-169,0.0,False,False,False,False,False,False
BTCUSDT,H1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.532752356675382,0.8120199929707641,7685,2121,PASS,1046,1075,0.9926401334281589,0.7458949918956674,-1.7440295038944453,0.07156135221297538,0.5067207233775699,0.9871997572486941,-0.004453109459927112,0.17854432250793517,-0.18299743196786228,-9.445045164505405,-388.13755320383586,479.75714285714275,147.38342948091537,0.3564356435643564,0.36775106082036774,562,1258,301,3164,0,0.016884491945521413,0.6703539823008849,1186,935,0.7598405393740066,0.7292794206475859,-2.1521193287541545,-2.652453926034562,944,1177,0.7547253318781012,0.7391320377637626,-2.2268068094035236,-2.4838861130154073,12.481894681965057,,9,1,-41.46565747142049,-23.97637551259693,-54.89554432296991,-42.15132598333203,-36.95380718392766,-84.67679768577767,-50.15129337117935,-66.34864635459695,12.481894681965057,5.084022939307096e-118,0.0,False,False,False,False,False,False
BTCUSDT,H1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.532752356675382,0.8120199929707641,5249,1444,PASS,691,753,1.0423513273181337,0.8019093460907522,-1.1149843320485908,0.04826553437338022,1.319611526282567,0.9083014369582271,0.027201401989949036,0.17674143944073054,-0.1495400374507815,39.27882447348641,-215.9358140789285,479.9342857142856,148.6946186758978,0.3511080332409972,0.35318559556786705,470,924,50,3161,0,0.09928678991479162,0.45681746282821895,800,644,0.8781887554301256,0.7177868665650766,-1.0459017009544753,-2.7468513115181414,629,815,0.8886221455579233,0.7414082744883151,-0.9529831634156922,-2.4590276359003056,-2.4622707021436696,,9,0,-2.4622707021436696,-13.34557948270171,-21.0389030922705,-13.0501823086921,-19.741765203700975,-41.13830437225529,-32.95237308023837,-56.10468745432322,-16.10174838260268,1.5480109458847327e-97,0.0,False,True,False,False,False,False
BTCUSDT,H1,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.532752356675382,0.8120199929707641,11200,4120,PASS,2021,2099,1.086486149247204,0.7182275579701443,-2.830642130150015,-0.40067198674828514,0.2695552447016287,0.9996839640112626,0.04556182809245863,0.23103327520312206,-0.18547144711066343,187.71473174092955,-764.1423620959333,361.11375000000226,114.65290383805926,0.4186893203883495,0.43980582524271844,1484,2119,517,3164,0,0.00035501992226633685,1.302149178255373,2316,1804,0.7750346145039153,0.6512781315685163,-2.3889889976065874,-3.9935424967316484,1823,2297,0.7865022236754795,0.6684973527278962,-2.2297693930756095,-3.783613626371471,-22.022620108238847,,9,0,-57.572699655338624,-41.10076366151669,-123.30369614552814,-22.022620108238847,-86.04309627824486,-160.69562619729032,-83.10074185236597,-114.38491096541627,-75.91820723199353,5.809484703245713e-171,0.0,False,True,False,False,False,False
BTCUSDT,H1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.532752356675382,0.8120199929707641,1410,1163,PASS,573,590,1.1497547239731878,0.8555339468906282,-0.7025373408118757,0.18851758261985466,1.9724205723162642,0.7659302518941743,0.08866960630823795,0.191916564219919,-0.10324695791168105,103.12275213648073,-120.07621205128507,448.9871428571423,140.16785019395314,0.3766122098022356,0.38521066208082544,371,675,117,3163,0,0.2678551208648405,0.3676889029402466,650,513,0.9423339727279209,0.7583712235622978,-0.46049408503647743,-2.1578387170835445,513,650,1.0034658209828513,0.7534515806933292,0.026777242852045736,-2.209011696220447,22.16062566330649,,9,2,-4.327112792945744,-1.194266047517529,-15.463041121284972,22.16062566330649,-26.491384095825243,-34.71688548509081,-5.346764152860572,-55.627975109260795,0.9305910901941086,1.459427909083804e-84,0.0,False,True,False,False,False,False
BTCUSDT,H1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.532752356675382,0.8120199929707641,833,734,PASS,352,382,1.0973006767723978,0.844686331812272,-0.6083196471118474,0.299214568710663,4.213665511624031,0.7125470889163675,0.061183636054133114,0.17602132919378863,-0.11483769313965554,44.908788863733704,-84.29086676450717,525.7435714285712,148.89158593634312,0.36239782016348776,0.3651226158038147,247,460,27,3163,0,0.39874685422087547,0.2320581726209295,399,335,0.9628903127935039,0.7207659794796187,-0.29360876427876875,-2.6048870741645778,309,425,1.0658746758949456,0.7079341688251746,0.49300605062136815,-2.7472752337258037,17.45687293688952,,9,3,13.191088713913569,-8.172363780406648,17.45687293688952,-8.816793354413518,-23.966517996746038,-26.666813281192837,-22.403431767501893,-34.627658277636804,9.714750042587468,1.6765278994677199e-81,0.0,False,True,False,False,False,False
BTCUSDT,H1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",0.532752356675382,0.8120199929707641,1688,1433,PASS,725,708,1.0821737330936185,0.7759935351856515,-1.2067843048590476,0.5052680891643566,2.1861712334990395,0.958732841524586,0.056592510597919136,0.25100064949183426,-0.19440813889391514,81.09706768681812,-278.5868630349804,334.36392857143073,105.29456285192848,0.28960223307745986,0.29658060013956733,321,977,135,3163,0,0.04983992009629314,0.4530509010433133,810,623,0.8686826781824247,0.6706216465060645,-1.1105477633762109,-3.0730442112375522,628,805,0.9553941257529576,0.656133255564298,-0.35551565683149966,-3.2904325190872292,25.287544327508797,,9,1,-24.262948436717092,-0.0671105999159225,-23.1761261263439,25.287544327508797,-64.66696329298247,-75.67729354561034,-20.721253667617454,-66.31613932307182,-28.9865723702302,4.321149693367367e-97,0.0,False,True,False,False,False,False
