entry_time,exit_time,side,reason,entry_mid,exit_mid,risk_price,gross_R,cost_R,net_R,ret_frac,instrument,target,stop,trigger
2014-10-06 14:00:00+00:00,2014-10-06 19:59:00+00:00,short,time,17077.334000000003,16993.917,24.46599999999671,3.4095070710378685,0.1398855591433197,3.269621511894549,0.032696215118945486,US30,range,sneaky,c3
2014-10-07 14:00:00+00:00,2014-10-07 15:26:00+00:00,long,stop,16867.8205,16827.3865,40.434000000001106,-1.0,0.09220348636048618,-1.0922034863604861,-0.010922034863604862,US30,range,sneaky,c3
2014-10-15 14:00:00+00:00,2014-10-15 14:45:00+00:00,long,stop,16160.0845,16084.500499999998,75.58400000000256,-1.0,0.07821247099253546,-1.0782124709925354,-0.010782124709925353,US30,range,sneaky,c3
2014-10-30 14:00:00+00:00,2014-10-30 14:59:00+00:00,short,stop,17038.288,17097.800499999998,59.51249999999709,-1.0,0.1339914955681645,-1.1339914955681645,-0.011339914955681644,US30,range,sneaky,c3
2014-11-06 15:01:00+00:00,2014-11-06 16:04:00+00:00,short,stop,17487.028,17520.764000000003,33.736000000004424,-1.0,0.06416459627696572,-1.0641645962769657,-0.010641645962769657,US30,range,sneaky,c3
2014-12-22 15:01:00+00:00,2014-12-22 15:15:00+00:00,short,stop,17890.9185,17910.0295,19.111000000000786,-1.0,0.29160743563914865,-1.2916074356391487,-0.012916074356391487,US30,range,sneaky,c3
2015-01-26 15:03:00+00:00,2015-01-26 20:59:00+00:00,long,time,17617.1105,17675.487,54.266999999999825,1.0757274218217758,0.04045022172775364,1.0352772000940222,0.010352772000940223,US30,range,sneaky,c3
2015-01-29 15:02:00+00:00,2015-01-29 15:40:00+00:00,long,stop,17241.945,17160.8045,81.14050000000134,-1.0,0.02770165854289736,-1.0277016585428973,-0.010277016585428973,US30,range,sneaky,c3
2015-03-04 15:01:00+00:00,2015-03-04 15:10:00+00:00,long,stop,18068.319000000003,18044.7085,23.610500000002503,-1.0,0.14381062387495563,-1.1438106238749557,-0.011438106238749557,US30,range,sneaky,c3
2015-03-24 14:00:00+00:00,2015-03-24 17:26:00+00:00,long,stop,18104.828999999998,18058.7425,46.08649999999761,-1.0,0.10100901381099107,-1.1010090138109911,-0.01101009013810991,US30,range,sneaky,c3
2015-03-31 14:00:00+00:00,2015-03-31 19:06:00+00:00,long,stop,17880.5785,17844.32,36.25849999999991,-1.0,0.13461334852517373,-1.1346133485251737,-0.011346133485251738,US30,range,sneaky,c3
2015-04-07 14:00:00+00:00,2015-04-07 14:30:00+00:00,short,stop,17923.161999999997,17966.5705,43.408500000005006,-1.0,0.10531639817085299,-1.105316398170853,-0.01105316398170853,US30,range,sneaky,c3
2015-04-15 14:08:00+00:00,2015-04-15 18:08:00+00:00,short,stop,18123.609,18148.464500000002,24.855500000001484,-1.0,0.16554433485545467,-1.1655443348554546,-0.011655443348554546,US30,range,sneaky,c3
2015-05-12 14:09:00+00:00,2015-05-12 19:59:00+00:00,long,time,17984.661,18065.5365,63.30200000000332,1.2776136614955933,0.07231887199456194,1.2052947895010313,0.012052947895010314,US30,range,sneaky,c3
2015-05-13 14:00:00+00:00,2015-05-13 19:59:00+00:00,short,time,18100.866,18064.468,35.224999999998545,1.0333002129170348,0.13409842185948037,0.8992017910575544,0.008992017910575544,US30,range,sneaky,c3
2015-05-15 14:00:00+00:00,2015-05-15 19:59:00+00:00,short,time,18239.463,18268.5035,30.7345000000023,-0.9448827864451018,0.11837926450730377,-1.0632620509524056,-0.010632620509524056,US30,range,sneaky,c3
2015-05-29 14:03:00+00:00,2015-05-29 14:11:00+00:00,long,stop,18081.6275,18048.578999999998,33.048500000000786,-1.0,0.11583036181672114,-1.1158303618167211,-0.011158303618167211,US30,range,sneaky,c3
2015-06-02 14:03:00+00:00,2015-06-02 19:59:00+00:00,long,time,17983.1215,18011.3445,60.07600000000093,0.4697882681935831,0.07132168257706793,0.39846658561651516,0.003984665856165152,US30,range,sneaky,c3
2015-06-05 14:00:00+00:00,2015-06-05 19:40:00+00:00,long,stop,17867.4465,17831.978499999997,35.46800000000076,-1.0,0.2076831306388813,-1.2076831306388813,-0.012076831306388813,US30,range,sneaky,c3
2015-06-12 14:01:00+00:00,2015-06-12 14:21:00+00:00,long,stop,17942.0655,17913.402000000002,28.66349999999875,-1.0,0.19848165236276968,-1.1984816523627697,-0.011984816523627697,US30,range,sneaky,c3
2015-06-15 14:01:00+00:00,2015-06-15 19:59:00+00:00,long,time,17733.097,17793.7195,38.91400000000067,1.5578583543196955,0.1482234695739297,1.4096348847457658,0.014096348847457658,US30,range,sneaky,c3
2015-06-25 14:11:00+00:00,2015-06-25 14:41:00+00:00,long,stop,17994.519,17963.8295,30.689500000000407,-1.0,0.14843057283435504,-1.1484305728343551,-0.01148430572834355,US30,range,sneaky,c3
2015-07-02 14:00:00+00:00,2015-07-02 19:59:00+00:00,short,time,17786.022,17722.963,38.696499999998196,1.6295789024848255,0.1032163883038566,1.526362514180969,0.01526362514180969,US30,range,sneaky,c3
2015-07-10 14:10:00+00:00,2015-07-10 15:23:00+00:00,short,stop,17721.677,17753.498,31.820999999999913,-1.0,0.07889212768297686,-1.0788921276829768,-0.010788921276829769,US30,range,sneaky,c3
2015-08-03 14:12:00+00:00,2015-08-03 14:24:00+00:00,long,stop,17656.7365,17618.4695,38.266999999999825,-1.0,0.12077402010871041,-1.1207740201087104,-0.011207740201087104,US30,range,sneaky,c3
2015-08-17 14:03:00+00:00,2015-08-17 14:55:00+00:00,long,target,17371.232,17493.1275,32.230500000001484,3.7819922123452354,0.10685891686445576,3.6751332954807796,0.0367513329548078,US30,range,sneaky,c3
2015-08-27 14:00:00+00:00,2015-08-27 14:49:00+00:00,short,stop,16434.972,16528.2215,93.24949999999808,-1.0,0.02762182338779353,-1.0276218233877936,-0.010276218233877936,US30,range,sneaky,c3
2015-09-03 14:01:00+00:00,2015-09-03 14:19:00+00:00,short,stop,16440.660499999998,16478.002,37.34150000000227,-1.0,0.10121417638551665,-1.1012141763855166,-0.011012141763855166,US30,range,sneaky,c3
2015-09-29 14:00:00+00:00,2015-09-29 19:59:00+00:00,long,time,16040.375,16047.151999999998,99.45200000000114,0.06814342597432076,0.03282438387362711,0.03531904210069365,0.0003531904210069365,US30,range,sneaky,c3
2015-10-09 14:01:00+00:00,2015-10-09 19:59:00+00:00,short,time,17079.773999999998,17087.642,31.84900000000198,-0.24704072341366207,0.14203803855693173,-0.38907876197059377,-0.0038907876197059378,US30,range,sneaky,c3
2015-10-21 14:00:00+00:00,2015-10-21 15:34:00+00:00,short,stop,17255.763,17286.424,30.661000000000058,-1.0,0.147957601024102,-1.147957601024102,-0.01147957601024102,US30,range,sneaky,c3
2015-12-14 15:07:00+00:00,2015-12-14 15:12:00+00:00,long,stop,17290.927499999998,17222.477,68.45049999999901,-1.0,0.050706865362562,-1.050706865362562,-0.01050706865362562,US30,range,sneaky,c3
2015-12-16 15:05:00+00:00,2015-12-16 19:00:00+00:00,short,target,17634.847500000003,17488.574,44.44049999999697,3.2914458658208825,0.14111598851274013,3.1503298773081423,0.031503298773081424,US30,range,sneaky,c3
2016-01-05 15:01:00+00:00,2016-01-05 20:59:00+00:00,short,time,17130.8925,17161.366,60.500999999996566,-0.5036858894894595,0.05344553003256448,-0.5571314195220239,-0.005571314195220239,US30,range,sneaky,c3
2016-01-12 15:02:00+00:00,2016-01-12 20:59:00+00:00,short,time,16541.9425,16515.182,51.97949999999764,0.5148279610231251,0.0643374072951866,0.4504905537279385,0.004504905537279385,US30,range,sneaky,c3
2016-03-11 15:04:00+00:00,2016-03-11 15:35:00+00:00,short,stop,17155.425499999998,17186.8735,31.448000000003958,-1.0,0.1050655894651356,-1.1050655894651356,-0.011050655894651356,US30,range,sneaky,c3
2016-03-23 14:02:00+00:00,2016-03-23 14:06:00+00:00,long,stop,17550.9895,17529.18,21.80949999999939,-1.0,0.21015537185630706,-1.210155371856307,-0.01210155371856307,US30,range,sneaky,c3
2016-03-29 14:00:00+00:00,2016-03-29 16:29:00+00:00,long,target,17474.095999999998,17583.1475,34.12749999999869,3.195414255366071,0.12925069108490717,3.0661635642811635,0.030661635642811637,US30,range,sneaky,c3
2016-03-30 14:04:00+00:00,2016-03-30 19:59:00+00:00,short,time,17762.446,17718.494,27.647000000000844,1.5897565739501498,0.16175101132129574,1.4280055626288541,0.014280055626288542,US30,range,sneaky,c3
2016-04-01 14:00:00+00:00,2016-04-01 17:43:00+00:00,long,target,17607.852,17755.563000000002,34.68950000000041,4.258089623661374,0.12018218827022445,4.13790743539115,0.0413790743539115,US30,range,sneaky,c3
2016-04-05 14:00:00+00:00,2016-04-05 19:55:00+00:00,long,stop,17645.5705,17595.968500000003,49.60199999999895,-1.0,0.06798419453852811,-1.067984194538528,-0.01067984194538528,US30,range,sneaky,c3
2016-04-06 14:01:00+00:00,2016-04-06 14:17:00+00:00,long,stop,17587.044,17556.001,31.043000000001484,-1.0,0.14548371420287293,-1.1454837142028729,-0.01145483714202873,US30,range,sneaky,c3
2016-05-04 14:00:00+00:00,2016-05-04 18:00:00+00:00,long,stop,17693.5195,17621.906000000003,71.61349999999584,-1.0,0.050097050591022756,-1.0500970505910228,-0.010500970505910227,US30,range,sneaky,c3
2016-06-22 14:00:00+00:00,2016-06-22 14:10:00+00:00,short,stop,17868.059,17882.624,14.56499999999869,-1.0,0.31371012461382836,-1.3137101246138283,-0.013137101246138283,US30,range,sneaky,c3
2016-06-30 14:06:00+00:00,2016-06-30 14:15:00+00:00,short,stop,17713.3135,17750.482,37.16849999999977,-1.0,0.12627082939855064,-1.1262708293985506,-0.011262708293985506,US30,range,sneaky,c3
2016-07-06 14:00:00+00:00,2016-07-06 14:17:00+00:00,long,stop,17776.3645,17746.222,30.14249999999811,-1.0,0.08986677307788571,-1.0898667730778857,-0.010898667730778857,US30,range,sneaky,c3
2016-07-11 14:02:00+00:00,2016-07-11 15:01:00+00:00,short,stop,18224.2245,18249.9945,25.770000000000437,-1.0,0.1426569773961947,-1.1426569773961948,-0.011426569773961948,US30,range,sneaky,c3
2016-07-12 14:03:00+00:00,2016-07-12 16:11:00+00:00,short,stop,18324.424,18353.5685,29.144500000002154,-1.0,0.09764440083033814,-1.097644400830338,-0.01097644400830338,US30,range,sneaky,c3
2016-07-28 14:00:00+00:00,2016-07-28 14:37:00+00:00,long,stop,18447.985,18400.209,47.77600000000166,-1.0,0.09055755975803437,-1.0905575597580344,-0.010905575597580344,US30,range,sneaky,c3
2016-08-04 14:00:00+00:00,2016-08-04 19:59:00+00:00,short,time,18345.497,18354.012000000002,50.46700000000055,-0.16872411674961782,0.09458937711771946,-0.26331349386733727,-0.0026331349386733726,US30,range,sneaky,c3
2016-08-11 14:00:00+00:00,2016-08-11 14:37:00+00:00,short,stop,18561.029000000002,18584.7785,23.74949999999808,-1.0,0.30285854081141006,-1.30285854081141,-0.0130285854081141,US30,range,sneaky,c3
2016-08-16 14:04:00+00:00,2016-08-16 19:56:00+00:00,long,stop,18590.589,18555.953,34.6359999999986,-1.0,0.1379122737902816,-1.1379122737902816,-0.011379122737902815,US30,range,sneaky,c3
2016-08-22 14:00:00+00:00,2016-08-22 19:59:00+00:00,long,time,18494.927,18529.155,26.2654999999977,1.3031543279207383,0.21902553330416338,1.084128794616575,0.01084128794616575,US30,range,sneaky,c3
2016-08-23 14:06:00+00:00,2016-08-23 19:59:00+00:00,short,time,18615.5325,18549.9935,22.025000000001455,2.975664018161014,0.21003845119181355,2.7656255669692005,0.027656255669692004,US30,range,sneaky,c3
2016-08-26 14:00:00+00:00,2016-08-26 14:04:00+00:00,short,stop,18494.497499999998,18535.3295,40.832000000002154,-1.0,0.11845506373676883,-1.1184550637367687,-0.011184550637367688,US30,range,sneaky,c3
2016-09-02 14:06:00+00:00,2016-09-02 19:59:00+00:00,short,time,18524.661500000002,18490.2585,22.83849999999802,1.5063598747730826,0.1890592334216509,1.3173006413514317,0.013173006413514318,US30,range,sneaky,c3
2016-09-26 14:05:00+00:00,2016-09-26 17:43:00+00:00,long,stop,18128.635,18099.338,29.29699999999866,-1.0,0.15385076031676304,-1.1538507603167631,-0.011538507603167632,US30,range,sneaky,c3
2016-10-03 14:00:00+00:00,2016-10-03 19:59:00+00:00,long,time,18217.645,18247.975,22.99499999999898,1.3189823874755142,0.267900938247457,1.0510814492280574,0.010510814492280574,US30,range,sneaky,c3
