instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,bars_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025
XAUUSD,M1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1.1939063464653195,0.2038764411892057,128280,40600,PASS,20462,20138,0.9836894834892645,0.34508483655287137,-19.972718919682933,-0.8401555277870325,1.0456632413080835,1.0,-0.01072175541973686,0.7543061520178855,-0.7650279074376224,-435.30327004131647,-31060.133041967467,0.8030714285714566,4.545063455023524,0.3169950738916256,0.33704433497536945,12830,26570,1200,1601,1,-1.1748872490315539e-166,25.359150530918175,970.3382899628252,31073,9527,0.3158549959578227,0.45938401531895023,-20.845454826491757,-16.31200482309134,-1331.6771900941321,,8,0,-5984.28215649347,-7054.800911206011,-4305.16492286626,-4260.289388972003,-4234.112551082197,-2405.1583172850787,-1484.6476039683157,-1331.6771900941321
XAUUSD,M1,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",1.1939063464653195,0.2038764411892057,253295,108346,PASS,54702,53644,0.9822230433264462,0.18762029271041628,-24.402285406622752,-0.5670327198612422,0.3442291620881641,1.0017649914364282,-0.01024369184505525,0.9822153378151046,-0.9924590296601599,-1109.8630366443563,-107528.96602755968,0.6190714285712602,3.508971155231944,0.3181843353700183,0.40656784745168256,39027,61414,7905,1601,326,0.0,67.67395377888819,970.3382899628252,82555,25791,0.16028558011411065,0.2975124360877764,-23.45078437273567,-18.933477654697555,-4703.7364700313,,8,0,-21230.155214259466,-24362.879524780295,-14070.581059501339,-14345.821172375974,-14997.846252794996,-8397.593619922205,-4703.7364700313,-5420.3527138941145
XAUUSD,M1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1.1939063464653195,0.2038764411892057,37754,31017,PASS,15982,15035,0.9854840126983274,0.32702682650218046,-19.615851991981266,-0.6399690293285307,0.15546890072599462,1.0,-0.009143253821264196,0.7571433465393225,-0.7662866003605867,-283.5963037741516,-23767.91148338432,0.7961428571429678,4.497048849664187,0.31437598736176936,0.3521617177676758,8890,19255,2872,1601,0,8.979486240761813e-120,19.373516552154904,970.3382899628252,23630,7387,0.2984514279084309,0.4357909526383361,-21.278880175190253,-16.01996870808752,-1107.8856820955223,,8,0,-4617.690895781447,-5164.332219807608,-3523.9152048967812,-2937.558405181661,-3378.4073682311073,-1923.6264917550275,-1114.4952156351674,-1107.8856820955223
XAUUSD,M1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1.1939063464653195,0.2038764411892057,23752,21438,PASS,10879,10559,0.988986178002211,0.34959938856225675,-17.17075900191197,-0.9408696538110682,1.500950839282996,1.0,-0.007227570056377663,0.7478537553356522,-0.7550813253920299,-154.94464686862435,-16187.433453754336,0.816607142857265,4.56872572627474,0.31910625991230523,0.33813788599682804,6799,14002,637,1601,0,9.524715334601924e-79,13.390381011867582,970.3382899628252,16390,5048,0.3192586152342989,0.46626784999994014,-19.4304518045177,-14.284593547559648,-706.7500362102865,,8,0,-2999.861763897752,-3563.505996857946,-2484.3718119163877,-2137.4519334901966,-2260.6523220002673,-1274.7338096169535,-760.1057797645469,-706.7500362102865
XAUUSD,M1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",1.1939063464653195,0.2038764411892057,45610,39306,PASS,19981,19325,1.0003339357124328,0.3119467192819886,-20.166142401205263,-0.7130787121351916,0.42333524108048914,1.0,0.00023909214311506658,1.0063202545500793,-1.0060811624069643,9.397755777280807,-39545.02616956814,0.5994910714284742,3.3795710546524966,0.2485880018317814,0.2748689767465527,8528,27959,2819,1601,2,9.606205588127661e-228,24.550905683947533,970.3382899628252,29864,9442,0.2830938311874893,0.42438563985205374,-21.622709601476945,-16.47566834874242,-1794.4247050493775,,8,0,-7618.090578194356,-8665.861101125492,-5860.156701379708,-4984.170717099579,-5660.994673126157,-3103.2320728927534,-1858.0956207007177,-1794.4247050493775
NAS100,M1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.842374800132381,0.3567068346922749,189911,79737,PASS,43851,35886,1.0277976501355086,0.3425964542010151,-19.863966834405904,-1.023229370664658,1.5543663151649905,1.0,0.014760621907896468,0.6537506522784658,-0.6389900303705695,1176.9677090699406,-50951.1480516581,8.406089285714188,6.1668064881488975,0.32301190162659743,0.4062605816622145,16116,39716,23905,2018,8,1.0448240656212736e-301,39.512884043607535,1031.4883395522388,46715,33022,0.3162765414699359,0.3847976365472183,-19.19652834693523,-21.002513903723433,-4569.80310746196,,8,0,-5462.012407053014,-8999.982915440796,-5251.554965760686,-7728.7220185145825,-5194.16444699916,-7837.57222664402,-5907.335963783878,-4569.80310746196
NAS100,M1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.842374800132381,0.3567068346922749,189911,66319,PASS,36047,30272,1.0092536000150516,0.3720378472372789,-19.699292409094525,-0.9711038109714918,1.2906906028082017,1.0,0.00508699781953065,0.5802567226500499,-0.5751697248305192,337.3646083934532,-38144.680981035206,9.439374999999927,6.935688687178493,0.367330629231442,0.41926144845368596,22670,35423,8226,2018,0,7.847296115276902e-204,32.863726461843406,1031.4883395522388,39069,27250,0.3427909145382094,0.4190752519811464,-19.39250573823983,-20.275182737516175,-3408.16972435675,,8,0,-4148.987367614237,-6780.665122470594,-3993.4000133750374,-5658.9390984767,-4033.7004033074595,-5751.531211855045,-4369.2880395793845,-3408.16972435675
NAS100,M1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.842374800132381,0.3567068346922749,288388,63372,PASS,33901,29471,1.029884178170144,0.4827320653675908,-17.83741454354898,-0.8599091699198234,1.2507652054232925,1.0,0.01775477148760684,0.5080341215419778,-0.4902793500543709,1125.1553787126206,-31069.982971645593,10.413321428573,7.631928361186971,0.30743861642365716,0.3585495171369059,7941,36153,19278,2018,1,-5.842914801376232e-161,31.40336967294351,1031.4883395522388,37354,26018,0.45918542766142045,0.5197195449768978,-17.508280012925127,-17.594318384080772,-2838.4273376580636,,8,0,-3370.930943190655,-5381.5990986390725,-3147.7225047807106,-4637.7122937680615,-3310.5660593957805,-4816.249792935319,-3566.7749412779335,-2838.4273376580636
NAS100,M1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",0.842374800132381,0.3567068346922749,178655,113783,PASS,58213,55570,0.9873402469285556,0.2851324082383644,-21.594772204155305,-0.941222008100368,1.7057958864265887,1.000000002303781,-0.007779387193638803,0.8625602660268495,-0.8703396532204882,-885.162013053804,-99029.85676238681,6.267928571427547,4.536237078905257,0.2981376831336843,0.3599219567070652,31035,68377,14371,2018,174,0.0,56.38404360753221,1031.4883395522388,66067,47716,0.26562059335911076,0.31476212130951486,-19.97906312738764,-23.368210528524667,-9759.355536008248,,8,0,-10892.219507906053,-16376.753475016492,-9759.355536008248,-14421.848079210162,-9889.265545837203,-15176.359040879499,-12603.591824077577,-9910.463753451588
NAS100,M1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.842374800132381,0.3567068346922749,108189,67472,PASS,35124,32348,0.9937679726924242,0.3290837562186401,-20.4396078622544,-0.8562442035678042,1.1497011332600544,1.00000000383541,-0.004019930668981801,0.8005366717977668,-0.8045566024667484,-271.2327620975401,-54285.04308163645,6.723000000000411,4.875794488094828,0.3094320607066635,0.3438166943324638,20782,43108,3582,2018,10,5e-324,33.43508424182359,1031.4883395522388,38919,28553,0.31433145361395054,0.35056551922137585,-19.755797397121583,-22.10270188094278,-5060.1546924759905,,8,0,-6058.462918143245,-8732.058937726331,-5060.1546924759905,-7603.444734772591,-5437.021429646892,-8636.263912115595,-7215.490473745077,-5542.145983010737
